Date Time,High Range (μS/cm)  #20636185,Temp (°C)  #20636185,Specific Conductance (μS/cm),Salinity (ppt)
06/02/23 10:00:00.0,0.0,24.38,,
06/02/23 10:10:00.0,0.0,24.84,,
06/02/23 10:20:00.0,0.0,25.20,,
06/02/23 10:30:00.0,0.0,26.51,,
06/02/23 10:40:00.0,0.0,26.41,,
06/02/23 10:50:00.0,0.0,27.09,,
06/02/23 11:00:00.0,0.0,31.18,,
06/02/23 11:10:00.0,30064.6,22.22,44133.7,28.4735
06/02/23 11:20:00.0,30697.7,21.81,45446.0,29.4197
06/02/23 11:30:00.0,30687.6,21.70,45534.1,29.4834
06/02/23 11:40:00.0,30685.1,21.73,45500.6,29.4592
06/02/23 11:50:00.0,30712.8,21.73,45540.3,29.4879
06/02/23 12:00:00.0,30730.4,21.75,45546.1,29.4921
06/02/23 12:10:00.0,30738.0,21.75,45556.1,29.4993
06/02/23 12:20:00.0,30760.8,21.78,45560.1,29.5022
06/02/23 12:30:00.0,30735.5,21.78,45521.4,29.4742
06/02/23 12:40:00.0,30722.9,21.80,45482.5,29.4461
06/02/23 12:50:00.0,30722.9,21.84,45443.4,29.4178
06/02/23 13:00:00.0,30788.6,21.89,45491.8,29.4528
06/02/23 13:10:00.0,30796.2,21.90,45492.2,29.4532
06/02/23 13:20:00.0,30770.9,21.97,45387.5,29.3775
06/02/23 13:30:00.0,30854.6,22.12,45368.1,29.3634
06/02/23 13:40:00.0,30869.8,22.04,45464.5,29.4331
06/02/23 13:50:00.0,30874.9,22.04,45470.8,29.4376
06/02/23 14:00:00.0,30887.7,22.01,45516.7,29.4708
06/02/23 14:10:00.0,30844.4,22.05,45413.9,29.3965
06/02/23 14:20:00.0,30798.7,22.02,45373.7,29.3675
06/02/23 14:30:00.0,30849.5,21.99,45475.5,29.4410
06/02/23 14:40:00.0,30781.0,22.13,45241.7,29.2721
06/02/23 14:50:00.0,30862.2,22.17,45322.1,29.3302
06/02/23 15:00:00.0,30910.6,22.38,45195.0,29.2384
06/02/23 15:10:00.0,30895.3,22.23,45311.7,29.3227
06/02/23 15:20:00.0,30913.2,22.26,45308.5,29.3204
06/02/23 15:30:00.0,30846.9,22.32,45154.1,29.2089
06/02/23 15:40:00.0,30836.8,22.42,45044.9,29.1301
06/02/23 15:50:00.0,30813.9,22.58,44862.0,28.9981
06/02/23 16:00:00.0,30849.5,22.57,44921.7,29.0412
06/02/23 16:10:00.0,30836.8,22.36,45097.0,29.1676
06/02/23 16:20:00.0,30854.6,22.58,44917.4,29.0380
06/02/23 16:30:00.0,30824.1,22.54,44908.8,29.0318
06/02/23 16:40:00.0,30885.1,22.54,44996.3,29.0950
06/02/23 16:50:00.0,30869.8,22.53,44982.0,29.0847
06/02/23 17:00:00.0,30839.3,22.39,45066.3,29.1455
06/02/23 17:10:00.0,30849.5,22.38,45089.3,29.1621
