Site,Date,Date_Time,Gen_QC,Flags,Time,Time_QC,Temp_DOLog,Temp_DOLog_QC,Temp_CondLog,Temp_CondLog_QC,Raw_DO,Raw_DO_QC,DO,DO_QC,DO_Calibration_QC,DO_Pct_Sat,DO_Pct_Sat_QC,Salinity,Salinity_QC,Sal_Calibration_QC,High_Range,High_Range_QC,Spec_Cond,Spec_Cond_QC,Cal,QA_Comment,Field_Comment
WH1X,6/9/2023,6/9/2023 12:20,3,Sj,12:20:00,,17.8,,19.05,,9.21,,7.5,,,94.6,,30.1754,3,,33027.5,3,46489.7,3,1,,
WH1X,6/9/2023,6/9/2023 12:30,12,Sj,12:30:00,,17.8,,18.32,,9.54,,7.73,,,98,,31.0732,3,,33373.1,3,47724.6,3,,,
WH1X,6/9/2023,6/9/2023 12:40,,,12:40:00,,17.64,,18.29,,9.58,,7.76,,,98.1,,31.0978,,,33375.8,,47758.4,,,,
WH1X,6/9/2023,6/9/2023 12:50,,,12:50:00,,17.64,,18.29,,9.48,,7.67,,,97,,31.1655,,,33441.8,,47851.2,,,,
WH1X,6/9/2023,6/9/2023 13:00,,,13:00:00,,17.6,,18.25,,9.51,,7.7,,,97.3,,31.1428,,,33391.6,,47820.1,,,,
WH1X,6/9/2023,6/9/2023 13:10,,,13:10:00,,17.62,,18.29,,9.38,,7.6,,,96,,31.158,,,33436.5,,47841.1,,,,
WH1X,6/9/2023,6/9/2023 13:20,,,13:20:00,,17.64,,18.3,,9.35,,7.57,,,95.7,,31.155,,,33441.8,,47836.8,,,,
WH1X,6/9/2023,6/9/2023 13:30,,,13:30:00,,17.64,,18.27,,9.32,,7.55,,,95.4,,31.1686,,,33433.9,,47855.6,,,,
WH1X,6/9/2023,6/9/2023 13:40,,,13:40:00,,17.64,,18.3,,9.45,,7.65,,,96.8,,31.1668,,,33455,,47853,,,,
WH1X,6/9/2023,6/9/2023 13:50,,,13:50:00,,17.6,,18.23,,9.63,,7.8,,,98.6,,31.2137,,,33449.7,,47917.4,,,,
WH1X,6/9/2023,6/9/2023 14:00,,,14:00:00,,17.62,,18.27,,9.62,,7.79,,,98.5,,31.1822,,,33449.7,,47874.2,,,,
WH1X,6/9/2023,6/9/2023 14:10,,,14:10:00,,17.66,,18.29,,9.66,,7.83,,,99,,31.1743,,,33457.7,,47863.4,,,,
WH1X,6/9/2023,6/9/2023 14:20,,,14:20:00,,17.7,,18.33,,9.6,,7.78,,,98.5,,31.1731,,,33486.8,,47861.7,,,,
WH1X,6/9/2023,6/9/2023 14:30,,,14:30:00,,17.76,,18.39,,9.64,,7.81,,,99,,31.1403,,,33500.1,,47816.7,,,,
WH1X,6/9/2023,6/9/2023 14:40,,,14:40:00,,17.8,,18.44,,9.72,,7.88,,,99.9,,31.1013,,,33500.1,,47763.3,,,,
WH1X,6/9/2023,6/9/2023 14:50,,,14:50:00,,17.84,,18.43,,9.7,,7.87,,,99.8,,31.1052,,,33497.4,,47768.5,,,,
WH1X,6/9/2023,6/9/2023 15:00,,,15:00:00,,17.88,,18.53,,9.89,,8.02,,,101.9,,31.0751,,,33542.5,,47727.2,,,,
WH1X,6/9/2023,6/9/2023 15:10,,,15:10:00,,17.94,,18.6,,10.02,,8.13,,,103.4,,31.065,,,33585,,47713.4,,,,
WH1X,6/9/2023,6/9/2023 15:20,,,15:20:00,,17.96,,18.6,,9.88,,8.02,,,102,,31.0504,,,33571.7,,47693.3,,,,
WH1X,6/9/2023,6/9/2023 15:30,,,15:30:00,,18.02,,18.63,,9.84,,7.99,,,101.7,,31.0323,,,33577.1,,47668.5,,,,
WH1X,6/9/2023,6/9/2023 15:40,,,15:40:00,,18.06,,18.7,,10.16,,8.25,,,105.1,,30.9786,,,33577.1,,47594.7,,,,
WH1X,6/9/2023,6/9/2023 15:50,,,15:50:00,,18.08,,18.73,,10.19,,8.28,,,105.5,,30.9851,,,33606.3,,47603.7,,,,
WH1X,6/9/2023,6/9/2023 16:00,,,16:00:00,,18.08,,18.73,,10.34,,8.4,,,107,,30.9595,,,33582.4,,47568.6,,,,
WH1X,6/9/2023,6/9/2023 16:10,,,16:10:00,,18.02,,18.75,,10.16,,8.25,,,105,,31.0148,,,33651.7,,47644.5,,,,
WH1X,6/9/2023,6/9/2023 16:20,,,16:20:00,,18.22,,19.4,,10.87,,8.86,,,112.8,,30.5035,,,33625,,46941.6,,,,
WH1X,6/9/2023,6/9/2023 16:30,,,16:30:00,,18.32,,18.75,,10.63,,8.64,,,110.6,,30.9553,,,33595.7,,47562.8,,,,
WH1X,6/9/2023,6/9/2023 16:40,,,16:40:00,,18.72,,20.14,,10.56,,8.63,,,110.8,,30.2117,,,33871.4,,46539.6,,,,
WH1X,6/9/2023,6/9/2023 16:50,,,16:50:00,,18.82,,19.26,,10.14,,8.27,,,106.6,,30.6496,,,33670.3,,47142.7,,,,
WH1X,6/9/2023,6/9/2023 17:00,,,17:00:00,,18.74,,18.97,,10.19,,8.3,,,107,,30.8641,,,33670.3,,47437.5,,,,
WH1X,6/9/2023,6/9/2023 17:10,,,17:10:00,,19.08,,20.25,,10.28,,8.41,,,108.7,,30.1595,,,33901.1,,46467.7,,,,
WH1X,6/9/2023,6/9/2023 17:20,,,17:20:00,,19.38,,19.82,,9.87,,8.07,,,105,,30.3639,,,33796.2,,46749.4,,,,
WH1X,6/9/2023,6/9/2023 17:30,,,17:30:00,,19.5,,20.48,,10.01,,8.21,,,106.7,,29.9379,,,33844.5,,46162,,,,
WH1X,6/9/2023,6/9/2023 17:40,,,17:40:00,,19.62,,20.33,,9.91,,8.12,,,105.9,,30.0728,,,33874.1,,46348.2,,,,
WH1X,6/9/2023,6/9/2023 17:50,,,17:50:00,,19.68,,20.14,,9.81,,8.04,,,105,,30.157,,,33823,,46464.3,,,,
WH1X,6/9/2023,6/9/2023 18:00,,,18:00:00,,19.72,,20.66,,9.86,,8.1,,,105.6,,29.7133,,,33747.9,,45851.9,,,,
