Site,Date_Time,DO
101E,2023-05-25 08:50:00,9.53
101E,2023-06-01 08:50:00,9.44
101E,2023-06-09 09:00:00,9.28
101E,2023-06-15 08:30:00,8.31
101E,2023-06-21 08:30:00,8.81
101E,2023-06-26 06:59:00,7.87
101E,2023-06-30 07:10:00,8.28
101E,2023-06-30 07:12:00,8.27
101E,2023-07-06 07:20:00,8.12
101E,2023-07-12 07:23:00,7.9
101E,2023-07-12 07:24:00,7.87
101E,2023-07-19 07:30:00,7.97
101E,2023-07-21 07:58:00,7.88
101E,2023-08-03 08:12:00,7.87
101E,2023-08-11 07:14:00,7.86
101E,2023-08-11 07:15:00,7.85
101E,2023-08-15 07:32:00,7.73
101E,2023-08-23 07:17:00,8.16
103E,2023-05-26 08:25:00,10
103E,2023-06-01 06:50:00,8
103E,2023-06-01 07:20:00,7
103E,2023-06-06 07:00:00,9
103E,2023-06-06 07:50:00,8
103E,2023-06-10 08:20:00,8
103E,2023-06-10 08:45:00,7
103E,2023-06-15 06:45:00,7
103E,2023-06-15 07:15:00,6
103E,2023-06-21 08:30:00,7
103E,2023-06-21 09:00:00,6
103E,2023-06-27 07:25:00,8
103E,2023-06-27 07:55:00,6
103E,2023-06-30 06:40:00,7
103E,2023-06-30 07:10:00,6
103E,2023-07-06 08:10:00,6.5
103E,2023-07-06 08:40:00,6.5
103E,2023-07-12 08:15:00,6
103E,2023-07-12 08:40:00,6.5
103E,2023-07-19 06:55:00,14
103E,2023-07-19 07:20:00,5
103E,2023-07-20 06:40:00,10
103E,2023-07-22 08:30:00,5
103E,2023-07-22 09:00:00,9
103E,2023-07-28 06:35:00,6
103E,2023-07-28 07:00:00,4
103E,2023-08-03 08:55:00,6
103E,2023-08-03 09:10:00,6
103E,2023-08-10 07:35:00,7
103E,2023-08-10 08:10:00,6
103E,2023-08-16 08:20:00,5.5
103E,2023-08-16 08:45:00,5
103E,2023-08-24 08:10:00,9
103E,2023-08-24 08:37:00,6
103E,2023-08-29 08:10:00,5.5
103E,2023-08-29 08:40:00,6
103E,2023-09-02 08:15:00,6
103E,2023-09-02 08:45:00,7.5
103E,2023-09-07 08:20:00,6
103E,2023-09-07 08:45:00,5.5
103E,2023-09-12 07:45:00,7
103E,2023-09-12 08:20:00,5.5
103E,2023-09-17 08:45:00,6.5
103E,2023-09-17 09:15:00,6.5
103E,2023-09-22 08:00:00,8
103E,2023-09-22 08:20:00,7
104E,2023-05-26 07:00:00,6.5
104E,2023-06-01 07:40:00,7.5
104E,2023-06-01 08:00:00,7.5
104E,2023-06-06 07:20:00,7.5
104E,2023-06-10 07:30:00,7
104E,2023-06-15 07:15:00,6
104E,2023-06-15 07:50:00,6.5
104E,2023-06-21 07:20:00,7
104E,2023-06-27 07:12:00,6
104E,2023-06-27 07:35:00,6
104E,2023-07-01 07:16:00,6.5
104E,2023-07-01 07:40:00,6
104E,2023-07-06 07:25:00,5
104E,2023-07-12 07:08:00,5.5
104E,2023-07-18 07:30:00,6.5
104E,2023-07-22 09:30:00,6
104E,2023-07-28 07:00:00,4.5
104E,2023-08-03 07:29:00,6
104E,2023-08-10 07:20:00,7
104E,2023-08-16 07:10:00,6
104E,2023-08-24 07:30:00,6.5
104E,2023-08-29 07:30:00,6
104E,2023-08-29 07:46:00,6
104E,2023-09-02 07:10:00,6.5
104E,2023-09-07 07:30:00,6
104E,2023-09-13 07:21:00,5.5
104E,2023-09-13 07:40:00,4
106E,2023-05-26 08:35:00,8
106E,2023-05-31 07:34:00,7.25
106E,2023-05-31 07:35:00,6.39
106E,2023-06-05 07:30:00,7.51
106E,2023-06-05 07:35:00,7.49
106E,2023-06-09 07:03:00,7.37
106E,2023-06-09 07:05:00,7.33
106E,2023-06-14 07:19:00,6.63
106E,2023-06-14 07:20:00,6.16
106E,2023-06-20 07:05:00,6.39
106E,2023-06-20 07:06:00,6.35
106E,2023-06-26 07:22:00,6.4
106E,2023-06-26 07:23:00,6.17
106E,2023-06-30 07:35:00,5.97
106E,2023-06-30 07:40:00,5.86
106E,2023-07-05 07:10:00,4.65
106E,2023-07-11 07:42:00,5.61
106E,2023-07-11 07:43:00,3.94
106E,2023-07-18 07:34:00,5.94
106E,2023-07-18 07:35:00,5.55
106E,2023-07-21 07:36:00,6.63
106E,2023-07-21 07:37:00,5.63
106E,2023-07-28 07:07:00,4.78
106E,2023-07-28 07:08:00,4.3
106E,2023-08-02 07:18:00,5.49
106E,2023-08-02 07:19:00,5.52
106E,2023-08-10 07:46:00,6.78
106E,2023-08-10 07:47:00,6
106E,2023-08-16 08:26:00,5.13
106E,2023-08-16 08:27:00,5.15
106E,2023-08-23 07:36:00,6.67
106E,2023-08-23 07:37:00,6.21
107EA,2023-05-26 07:45:00,7.86
107EA,2023-05-31 07:06:00,7.76
107EA,2023-05-31 07:10:00,7.77
107EA,2023-06-05 07:02:00,7.42
107EA,2023-06-05 07:04:00,7.39
107EA,2023-06-09 06:37:00,7.35
107EA,2023-06-09 06:39:00,7.31
107EA,2023-06-14 06:50:00,7.02
107EA,2023-06-14 06:51:00,7.04
107EA,2023-06-20 06:37:00,6.88
107EA,2023-06-26 06:32:00,6.68
107EA,2023-06-26 06:33:00,6.57
107EA,2023-06-30 06:45:00,6.46
107EA,2023-06-30 06:46:00,6.46
107EA,2023-07-05 06:40:00,5.14
107EA,2023-07-12 06:55:00,6.13
107EA,2023-07-18 07:03:00,5.15
107EA,2023-07-18 07:04:00,5.16
107EA,2023-07-21 07:06:00,6.14
107EA,2023-07-21 07:08:00,5.45
107EA,2023-07-28 06:40:00,5.47
107EA,2023-07-28 06:41:00,5.44
107EA,2023-08-02 06:34:00,5.72
107EA,2023-08-02 06:35:00,4.72
107EA,2023-08-10 07:05:00,5.92
107EA,2023-08-10 07:06:00,5.83
107EA,2023-08-16 07:58:00,5.77
107EA,2023-08-16 07:59:00,5.7
107EA,2023-08-23 06:43:00,6.25
109E,2023-05-26 06:31:00,7.5
109E,2023-05-26 06:50:00,8.5
109EA,2023-06-01 06:55:00,9
109EA,2023-06-02 07:55:00,8
109EA,2023-06-02 08:14:00,8.5
