Site,Date,Date_Time,Gen_QC,Flags,Time,Time_QC,Temp_DOLog,Temp_DOLog_QC,Temp_CondLog,Temp_CondLog_QC,Raw_DO,Raw_DO_QC,DO,DO_QC,DO_Calibration_QC,DO_Pct_Sat,DO_Pct_Sat_QC,Salinity,Salinity_QC,Sal_Calibration_QC,High_Range,High_Range_QC,Spec_Cond,Spec_Cond_QC,Cal,QA_Comment,Field_Comment
AB2,8/6/2024,8/6/2024 14:40,,,14:40:00,,24.4,,26.07,,6.57,,5.3,,,75.6,,30.6829,,,25544.5,,47188.5,,1,,
AB2,8/6/2024,8/6/2024 14:50,12,,14:50:00,,24.92,,25.72,,6.71,,5.41,,,77.9,,30.9357,,,25556.3,,47535.9,,,,
AB2,8/6/2024,8/6/2024 15:00,,,15:00:00,,25.06,,25.82,,6.57,,5.3,,,76.5,,30.9029,,,25583.4,,47490.7,,,,
AB2,8/6/2024,8/6/2024 15:10,,,15:10:00,,24.98,,25.71,,6.41,,5.17,,,74.5,,30.9885,,,25591.9,,47608.3,,,,
AB2,8/6/2024,8/6/2024 15:20,,,15:20:00,,24.94,,25.67,,6.59,,5.31,,,76.6,,31.0471,,,25615.7,,47688.8,,,,
AB2,8/6/2024,8/6/2024 15:30,,,15:30:00,,24.9,,25.64,,6.73,,5.42,,,78.2,,31.0872,,,25630.9,,47743.8,,,,
AB2,8/6/2024,8/6/2024 15:40,,,15:40:00,,24.94,,25.74,,7.24,,5.83,,,84.1,,31.0311,,,25641.1,,47666.8,,,,
AB2,8/6/2024,8/6/2024 15:50,,,15:50:00,,25.04,,25.84,,7.14,,5.76,,,83.1,,30.9843,,,25658.1,,47602.7,,,,
AB2,8/6/2024,8/6/2024 16:00,,,16:00:00,,25.1,,25.9,,6.91,,5.57,,,80.5,,30.9467,,,25661.5,,47551,,,,
AB2,8/6/2024,8/6/2024 16:10,,,16:10:00,,25.16,,25.91,,6.75,,5.44,,,78.8,,30.9618,,,25678.6,,47571.7,,,,
AB2,8/6/2024,8/6/2024 16:20,,,16:20:00,,25.14,,25.87,,6.98,,5.63,,,81.4,,30.988,,,25678.6,,47607.7,,,,
AB2,8/6/2024,8/6/2024 16:30,,,16:30:00,,25.12,,25.84,,6.94,,5.59,,,80.9,,31.035,,,25699,,47672.2,,,,
AB2,8/6/2024,8/6/2024 16:40,,,16:40:00,,25.04,,25.76,,6.97,,5.62,,,81.2,,31.0472,,,25668.3,,47688.9,,,,
AB2,8/6/2024,8/6/2024 16:50,,,16:50:00,,24.92,,25.56,,6.64,,5.35,,,77.2,,31.1816,,,25666.6,,47873.3,,,,
AB2,8/6/2024,8/6/2024 17:00,,,17:00:00,,24.76,,25.46,,6.63,,5.34,,,76.8,,31.2404,,,25659.8,,47954.1,,,,
AB2,8/6/2024,8/6/2024 17:10,,,17:10:00,,24.72,,25.42,,6.57,,5.29,,,76.1,,31.267,,,25659.8,,47990.6,,,,
AB2,8/6/2024,8/6/2024 17:20,,,17:20:00,,24.58,,25.23,,6.4,,5.15,,,73.9,,31.3728,,,25641.1,,48135.6,,,,
AB2,8/6/2024,8/6/2024 17:30,,,17:30:00,,24.44,,25.15,,6.42,,5.16,,,73.9,,31.4347,,,25646.2,,48220.3,,,,
AB2,8/6/2024,8/6/2024 17:40,,,17:40:00,,24.42,,25.08,,6.44,,5.17,,,74.2,,31.4686,,,25636,,48266.9,,,,
AB2,8/6/2024,8/6/2024 17:50,,,17:50:00,,24.28,,24.98,,6.34,,5.09,,,72.8,,31.5146,,,25619.1,,48329.9,,,,
AB2,8/6/2024,8/6/2024 18:00,,,18:00:00,,24.22,,24.9,,6.61,,5.31,,,75.8,,31.5909,,,25634.3,,48434.4,,,,
AB2,8/6/2024,8/6/2024 18:10,,,18:10:00,,24.08,,24.75,,6.72,,5.39,,,76.9,,31.6587,,,25607.2,,48527.1,,,,
AB2,8/6/2024,8/6/2024 18:20,,,18:20:00,,23.98,,24.7,,6.78,,5.44,,,77.4,,31.733,,,25636,,48628.8,,,,
AB2,8/6/2024,8/6/2024 18:30,,,18:30:00,,23.96,,24.7,,6.72,,5.39,,,76.7,,31.7341,,,25637.7,,48630.4,,,,
AB2,8/6/2024,8/6/2024 18:40,,,18:40:00,,23.94,,24.67,,6.6,,5.29,,,75.3,,31.7638,,,25644.5,,48671,,,,
AB2,8/6/2024,8/6/2024 18:50,,,18:50:00,,23.94,,24.68,,6.52,,5.23,,,74.4,,31.7531,,,25642.8,,48656.3,,,,
AB2,8/6/2024,8/6/2024 19:00,,,19:00:00,,23.96,,24.7,,6.51,,5.22,,,74.3,,31.74,,,25644.5,,48638.4,,,,
