Site,Date,Date_Time,Gen_QC,Flags,Time,Time_QC,Temp_DOLog,Temp_DOLog_QC,Temp_CondLog,Temp_CondLog_QC,Raw_DO,Raw_DO_QC,DO,DO_QC,DO_Calibration_QC,DO_Pct_Sat,DO_Pct_Sat_QC,Salinity,Salinity_QC,Sal_Calibration_QC,High_Range,High_Range_QC,Spec_Cond,Spec_Cond_QC,Cal,QA_Comment,Field_Comment,,
AB2,8/16/2024,8/16/2024 13:00,,,13:00:00,,25.62,,25.36,,8.28,,7.4,,,107.8,,30.7574,,,26208.3,,47290.9,,1,,,median SAL,30.9498
AB2,8/16/2024,8/16/2024 13:10,12,,13:10:00,,24.28,,24.64,,8.85,,7.89,,,112.4,,30.8675,,,25916.7,,47442.1,,,,,mean SAL,30.92599094
AB2,8/16/2024,8/16/2024 13:20,,,13:20:00,,23.96,,24.64,,9.24,,8.24,,,116.7,,30.872,,,25920.1,,47448.3,,,,,,
AB2,8/16/2024,8/16/2024 13:30,,,13:30:00,,23.94,,24.67,,9.6,,8.56,,,121.2,,30.881,,,25942.5,,47460.7,,,,,,
AB2,8/16/2024,8/16/2024 13:40,,,13:40:00,,23.94,,24.7,,9.85,,8.78,,,124.3,,30.8487,,,25933.9,,47416.3,,,,,,
AB2,8/16/2024,8/16/2024 13:50,,,13:50:00,,23.94,,24.64,,9.85,,8.77,,,124.3,,31.0078,,,26022.1,,47634.8,,,,,,
AB2,8/16/2024,8/16/2024 14:00,,,14:00:00,,23.88,,24.59,,9.74,,8.67,,,122.8,,31.0379,,,26018.6,,47676.2,,,,,,
AB2,8/16/2024,8/16/2024 14:10,,,14:10:00,,23.86,,24.61,,9.68,,8.62,,,122,,30.9893,,,25992.6,,47609.4,,,,,,
AB2,8/16/2024,8/16/2024 14:20,,,14:20:00,,23.82,,24.54,,10.09,,8.98,,,127,,30.9896,,,25956.3,,47609.8,,,,,,
AB2,8/16/2024,8/16/2024 14:30,,,14:30:00,,23.8,,24.53,,10.15,,9.04,,,127.8,,30.9596,,,25928.7,,47568.7,,,,,,
AB2,8/16/2024,8/16/2024 14:40,,,14:40:00,,23.78,,24.49,,10.02,,8.92,,,126.1,,30.9023,,,25865,,47490,,,,,,
AB2,8/16/2024,8/16/2024 14:50,,,14:50:00,,23.78,,24.49,,10.02,,8.92,,,126.1,,30.9415,,,25894.3,,47543.8,,,,,,
