Date Time,High Range High Range (μS/cm),Temp (°C)  #21095959,Specific Conductance (μS/cm),Salinity (ppt)
06/12/24 11:30:00.0,0.0,25.84,,
06/12/24 11:40:00.0,26386.6,21.39,45663.7,29.5771
06/12/24 11:50:00.0,26377.3,21.44,45600.7,29.5316
06/12/24 12:00:00.0,26407.2,21.48,45615.1,29.5420
06/12/24 12:10:00.0,26459.6,21.57,45620.3,29.5458
06/12/24 12:20:00.0,26461.5,21.51,45682.1,29.5904
06/12/24 12:30:00.0,26491.5,21.45,45792.5,29.6703
06/12/24 12:40:00.0,26491.5,21.35,45889.8,29.7408
06/12/24 12:50:00.0,26482.1,21.26,45961.6,29.7927
06/12/24 13:00:00.0,26516.0,21.36,45924.7,29.7660
06/12/24 13:10:00.0,26517.8,21.28,46006.2,29.8250
06/12/24 13:20:00.0,26531.0,21.33,45981.7,29.8073
06/12/24 13:30:00.0,26510.3,21.20,46072.9,29.8733
06/12/24 13:40:00.0,26561.2,21.51,45862.4,29.7209
06/12/24 13:50:00.0,26519.7,21.18,46110.7,29.9007
06/12/24 14:00:00.0,26574.4,21.77,45638.2,29.5587
06/12/24 14:10:00.0,26580.0,21.82,45601.2,29.5319
06/12/24 14:20:00.0,26625.4,22.10,45414.2,29.3968
06/12/24 14:30:00.0,26653.8,22.42,45162.7,29.2151
06/12/24 14:40:00.0,26589.5,21.90,45544.5,29.4909
06/12/24 14:50:00.0,26642.4,22.28,45276.7,29.2974
06/12/24 15:00:00.0,26627.3,22.13,45393.3,29.3816
06/12/24 15:10:00.0,26615.9,22.11,45393.8,29.3820
06/12/24 15:20:00.0,26689.8,22.83,44847.7,28.9878
06/12/24 15:30:00.0,26672.7,22.54,45088.9,29.1618
06/12/24 15:40:00.0,26644.3,22.30,45266.3,29.2899
06/12/24 15:50:00.0,26676.5,22.71,44939.4,29.0539
06/12/24 16:00:00.0,26695.5,22.98,44723.2,28.8980
06/12/24 16:10:00.0,26693.6,23.02,44684.3,28.8700
06/12/24 16:20:00.0,26706.9,22.93,44790.3,28.9464
06/12/24 16:30:00.0,26655.7,22.49,45113.0,29.1792
06/12/24 16:40:00.0,26697.4,22.88,44822.5,28.9696
06/12/24 16:50:00.0,26689.8,22.92,44774.0,28.9346
06/12/24 17:00:00.0,26687.9,23.08,44624.9,28.8272
06/12/24 17:10:00.0,26714.5,23.28,44487.8,28.7284
06/12/24 17:20:00.0,26705.0,23.43,44336.9,28.6198
06/12/24 17:30:00.0,26716.4,23.57,44230.4,28.5431
06/12/24 17:40:00.0,26727.8,23.77,44070.6,28.4282
06/12/24 17:50:00.0,26710.7,23.93,43900.7,28.3060
06/12/24 18:00:00.0,26727.8,24.21,43681.7,28.1486
06/12/24 18:10:00.0,26722.1,24.49,43427.7,27.9663
06/12/24 18:20:00.0,26701.2,24.48,43403.4,27.9489
06/12/24 18:30:00.0,26684.1,24.53,43333.1,27.8984
06/12/24 18:40:00.0,26676.5,24.22,43593.1,28.0850
06/12/24 18:50:00.0,26701.2,24.18,43669.7,28.1400
06/12/24 19:00:00.0,26640.5,24.61,43195.8,27.8000
06/12/24 19:10:00.0,26661.3,24.30,43501.0,28.0189
06/12/24 19:20:00.0,26640.5,24.58,43223.8,27.8201
06/12/24 19:30:00.0,26631.0,24.48,43296.3,27.8721
06/12/24 19:40:00.0,26653.8,24.23,43553.2,28.0564
06/12/24 19:50:00.0,26648.1,24.20,43571.2,28.0693
06/12/24 20:00:00.0,26634.8,23.98,43744.7,28.1939
06/12/24 20:10:00.0,26650.0,23.65,44064.9,28.4240
06/12/24 20:20:00.0,26640.5,23.41,44266.2,28.5689
06/12/24 20:30:00.0,26642.4,23.36,44315.6,28.6044
06/12/24 20:40:00.0,26621.6,23.33,44309.2,28.5998
06/12/24 20:50:00.0,26612.1,23.26,44357.9,28.6348
06/12/24 21:00:00.0,26617.8,23.14,44477.5,28.7210
06/12/24 21:10:00.0,26568.7,23.40,44161.0,28.4932
06/12/24 21:20:00.0,26553.6,23.36,44173.0,28.5018
06/12/24 21:30:00.0,26549.8,23.31,44212.9,28.5305
06/12/24 21:40:00.0,26542.3,23.30,44210.5,28.5288
06/12/24 21:50:00.0,26553.6,23.26,44266.5,28.5691
06/12/24 22:00:00.0,26600.8,23.12,44473.5,28.7181
06/12/24 22:10:00.0,26561.2,23.20,44335.6,28.6188
06/12/24 22:20:00.0,26546.1,23.18,44329.6,28.6145
06/12/24 22:30:00.0,26561.2,23.20,44337.6,28.6203
06/12/24 22:40:00.0,26487.8,23.02,44379.7,28.6506
06/12/24 22:50:00.0,26572.5,23.04,44504.3,28.7403
06/12/24 23:00:00.0,26564.9,22.87,44648.3,28.8440
06/12/24 23:10:00.0,26555.5,22.83,44670.3,28.8599
06/12/24 23:20:00.0,26540.4,22.78,44691.9,28.8755
06/12/24 23:30:00.0,26534.8,22.73,44729.6,28.9026
06/12/24 23:40:00.0,26553.6,22.67,44817.7,28.9661
06/12/24 23:50:00.0,26549.8,22.58,44895.7,29.0224
06/13/24 00:00:00.0,26519.7,22.53,44892.2,29.0199
06/13/24 00:10:00.0,26525.4,22.30,45117.2,29.1823
06/13/24 00:20:00.0,26516.0,22.27,45130.4,29.1918
06/13/24 00:30:00.0,26482.1,22.06,45270.9,29.2932
06/13/24 00:40:00.0,26487.8,21.84,45489.8,29.4514
06/13/24 00:50:00.0,26459.6,21.67,45604.3,29.5341
06/13/24 01:00:00.0,26446.5,21.43,45812.7,29.6849
06/13/24 01:10:00.0,26437.1,21.34,45884.2,29.7367
06/13/24 01:20:00.0,26416.5,21.23,45955.8,29.7885
06/13/24 01:30:00.0,26431.5,21.21,46002.3,29.8222
06/13/24 01:40:00.0,26425.9,21.21,45993.6,29.8159
06/13/24 01:50:00.0,26433.4,21.21,46007.7,29.8261
06/13/24 02:00:00.0,26433.4,21.24,45979.7,29.8058
06/13/24 02:10:00.0,26452.1,21.23,46022.9,29.8371
06/13/24 02:20:00.0,26448.4,21.23,46017.5,29.8332
06/13/24 02:30:00.0,26446.5,21.91,45364.1,29.3605
06/13/24 02:40:00.0,26459.6,21.71,45577.6,29.5149
06/13/24 02:50:00.0,26446.5,21.59,45670.7,29.5822
06/13/24 03:00:00.0,26440.9,21.71,45547.5,29.4931
06/13/24 03:10:00.0,26439.0,21.82,45440.7,29.4159
06/13/24 03:20:00.0,26425.9,21.97,45277.3,29.2979
06/13/24 03:30:00.0,26341.8,22.39,44742.2,28.9117
06/13/24 03:40:00.0,26379.1,22.46,44741.6,28.9113
06/13/24 03:50:00.0,26394.1,22.58,44657.1,28.8504
06/13/24 04:00:00.0,26407.2,22.53,44726.5,28.9004
06/13/24 04:10:00.0,26386.6,22.39,44822.3,28.9695
06/13/24 04:20:00.0,26392.2,22.37,44851.5,28.9905
