Date Time,DO conc (mg/L)  #21429547,Temp (°C)  #21429547,DO Adj Conc (mg/L) c:1 2,DO Percent Sat (%),Salinity (ppt)
06/12/24 11:30:00.0,8.46,24.08,,,
06/12/24 11:40:00.0,9.14,21.64,7.82,105.5,29.5771
06/12/24 11:50:00.0,9.48,20.72,8.10,107.5,29.5316
06/12/24 12:00:00.0,9.56,20.64,8.17,108.2,29.5420
06/12/24 12:10:00.0,9.68,20.64,8.27,109.6,29.5458
06/12/24 12:20:00.0,9.70,20.64,8.29,109.8,29.5904
06/12/24 12:30:00.0,9.73,20.60,8.31,110.1,29.6703
06/12/24 12:40:00.0,9.62,20.50,8.21,108.6,29.7408
06/12/24 12:50:00.0,9.71,20.40,8.29,109.5,29.7927
06/12/24 13:00:00.0,9.73,20.44,8.31,109.8,29.7660
06/12/24 13:10:00.0,9.68,20.40,8.26,109.1,29.8250
06/12/24 13:20:00.0,9.47,20.42,8.08,106.8,29.8073
06/12/24 13:30:00.0,9.30,20.32,7.93,104.7,29.8733
06/12/24 13:40:00.0,9.78,20.52,8.35,110.5,29.7209
06/12/24 13:50:00.0,9.75,20.44,8.32,110.0,29.9007
06/12/24 14:00:00.0,10.00,20.68,8.55,113.4,29.5587
06/12/24 14:10:00.0,9.77,21.12,8.36,111.7,29.5319
06/12/24 14:20:00.0,10.10,21.10,8.65,115.5,29.3968
06/12/24 14:30:00.0,10.24,21.34,8.78,117.6,29.2151
06/12/24 14:40:00.0,10.45,21.14,8.95,119.6,29.4909
06/12/24 14:50:00.0,10.50,21.34,9.00,120.6,29.2974
06/12/24 15:00:00.0,10.55,21.26,9.04,121.0,29.3816
06/12/24 15:10:00.0,10.57,21.24,9.06,121.2,29.3820
06/12/24 15:20:00.0,10.67,21.42,9.17,122.8,28.9878
06/12/24 15:30:00.0,10.64,21.50,9.13,122.6,29.1618
06/12/24 15:40:00.0,10.59,21.34,9.08,121.7,29.2899
06/12/24 15:50:00.0,10.62,21.70,9.12,122.9,29.0539
06/12/24 16:00:00.0,10.53,22.02,9.06,122.6,28.8980
06/12/24 16:10:00.0,10.45,22.12,8.99,121.9,28.8700
06/12/24 16:20:00.0,10.42,21.96,8.96,121.2,28.9464
06/12/24 16:30:00.0,10.73,21.72,9.21,124.2,29.1792
06/12/24 16:40:00.0,11.01,21.88,9.47,127.9,28.9696
06/12/24 16:50:00.0,10.79,22.00,9.28,125.6,28.9346
06/12/24 17:00:00.0,10.70,22.14,9.21,124.9,28.8272
06/12/24 17:10:00.0,10.75,22.34,9.26,126.0,28.7284
06/12/24 17:20:00.0,10.73,22.54,9.26,126.2,28.6198
06/12/24 17:30:00.0,10.74,22.68,9.27,126.7,28.5431
06/12/24 17:40:00.0,10.72,22.86,9.26,126.9,28.4282
06/12/24 17:50:00.0,10.64,22.98,9.20,126.2,28.3060
06/12/24 18:00:00.0,10.58,23.24,9.16,126.2,28.1486
06/12/24 18:10:00.0,10.59,23.48,9.18,126.9,27.9663
06/12/24 18:20:00.0,10.34,23.58,8.97,124.1,27.9489
06/12/24 18:30:00.0,10.13,23.60,8.79,121.6,27.8984
06/12/24 18:40:00.0,10.13,23.40,8.78,121.2,28.0850
06/12/24 18:50:00.0,10.19,23.26,8.83,121.6,28.1400
06/12/24 19:00:00.0,10.15,23.58,8.81,121.8,27.8000
06/12/24 19:10:00.0,10.15,23.52,8.80,121.7,28.0189
06/12/24 19:20:00.0,10.07,23.64,8.74,121.0,27.8201
06/12/24 19:30:00.0,9.86,23.58,8.56,118.4,27.8721
06/12/24 19:40:00.0,9.94,23.38,8.62,118.9,28.0564
06/12/24 19:50:00.0,9.70,23.30,8.41,115.8,28.0693
06/12/24 20:00:00.0,9.49,23.14,8.22,113.0,28.1939
06/12/24 20:10:00.0,9.80,22.80,8.47,115.9,28.4240
06/12/24 20:20:00.0,10.01,22.56,8.64,117.9,28.5689
06/12/24 20:30:00.0,9.99,22.50,8.62,117.5,28.6044
06/12/24 20:40:00.0,9.93,22.44,8.57,116.7,28.5998
06/12/24 20:50:00.0,9.72,22.38,8.39,114.1,28.6348
06/12/24 21:00:00.0,10.13,22.26,8.74,118.6,28.7210
06/12/24 21:10:00.0,9.92,22.40,8.57,116.5,28.4932
06/12/24 21:20:00.0,9.82,22.52,8.49,115.6,28.5018
06/12/24 21:30:00.0,9.86,22.44,8.52,115.9,28.5305
06/12/24 21:40:00.0,9.83,22.40,8.49,115.5,28.5288
06/12/24 21:50:00.0,9.45,22.38,8.16,111.0,28.5691
06/12/24 22:00:00.0,9.72,22.24,8.39,113.8,28.7181
06/12/24 22:10:00.0,9.64,22.32,8.32,113.1,28.6188
06/12/24 22:20:00.0,9.56,22.28,8.25,112.1,28.6145
06/12/24 22:30:00.0,9.37,22.30,8.09,109.9,28.6203
06/12/24 22:40:00.0,8.91,22.20,7.69,104.3,28.6506
06/12/24 22:50:00.0,9.42,22.14,8.13,110.1,28.7403
06/12/24 23:00:00.0,9.30,22.02,8.02,108.5,28.8440
06/12/24 23:10:00.0,9.36,21.96,8.07,109.1,28.8599
06/12/24 23:20:00.0,9.22,21.90,7.95,107.3,28.8755
06/12/24 23:30:00.0,9.22,21.84,7.95,107.2,28.9026
06/12/24 23:40:00.0,9.28,21.80,7.99,107.8,28.9661
06/12/24 23:50:00.0,9.34,21.72,8.04,108.3,29.0224
06/13/24 00:00:00.0,9.33,21.66,8.03,108.1,29.0199
06/13/24 00:10:00.0,9.29,21.48,7.99,107.3,29.1823
06/13/24 00:20:00.0,9.27,21.38,7.97,106.8,29.1918
06/13/24 00:30:00.0,9.32,21.22,8.01,107.1,29.2932
06/13/24 00:40:00.0,9.34,21.00,8.02,106.9,29.4514
06/13/24 00:50:00.0,9.38,20.80,8.05,106.9,29.5341
06/13/24 01:00:00.0,9.54,20.62,8.17,108.3,29.6849
06/13/24 01:10:00.0,9.56,20.48,8.19,108.3,29.7367
06/13/24 01:20:00.0,9.59,20.38,8.21,108.4,29.7885
06/13/24 01:30:00.0,9.59,20.34,8.21,108.3,29.8222
06/13/24 01:40:00.0,9.54,20.32,8.17,107.7,29.8159
06/13/24 01:50:00.0,9.37,20.32,8.02,105.8,29.8261
06/13/24 02:00:00.0,9.16,20.34,7.84,103.5,29.8058
06/13/24 02:10:00.0,9.18,20.34,7.86,103.7,29.8371
06/13/24 02:20:00.0,9.02,20.34,7.72,101.9,29.8332
06/13/24 02:30:00.0,9.10,20.86,7.82,103.9,29.3605
06/13/24 02:40:00.0,9.08,20.88,7.79,103.7,29.5149
06/13/24 02:50:00.0,9.03,20.74,7.75,102.8,29.5822
06/13/24 03:00:00.0,8.95,20.78,7.68,102.0,29.4931
06/13/24 03:10:00.0,8.84,20.92,7.59,101.0,29.4159
06/13/24 03:20:00.0,8.73,21.04,7.51,100.0,29.2979
06/13/24 03:30:00.0,8.61,21.28,7.42,99.1,28.9117
06/13/24 03:40:00.0,8.51,21.58,7.34,98.5,28.9113
06/13/24 03:50:00.0,8.52,21.62,7.35,98.7,28.8504
06/13/24 04:00:00.0,8.47,21.64,7.31,98.2,28.9004
06/13/24 04:10:00.0,8.39,21.56,7.23,97.1,28.9695
06/13/24 04:20:00.0,8.41,21.48,7.25,97.2,28.9905
06/13/24 04:30:00.0,8.39,21.48,7.23,97.0,28.9553
06/13/24 04:40:00.0,8.27,21.44,7.13,95.5,29.0432
06/13/24 04:50:00.0,8.19,21.38,7.06,94.5,29.0798
06/13/24 05:00:00.0,8.15,21.24,7.02,93.8,29.1344
06/13/24 05:10:00.0,8.00,21.30,6.89,92.2,29.0744
06/13/24 05:20:00.0,8.00,21.36,6.90,92.3,29.0229
06/13/24 05:30:00.0,7.98,21.30,6.89,91.9,28.7310
06/13/24 05:40:00.0,7.93,21.36,6.84,91.5,28.9492
06/13/24 05:50:00.0,7.64,21.36,6.61,88.1,28.4052
06/13/24 06:00:00.0,7.71,21.58,6.68,89.3,28.2792
06/13/24 06:10:00.0,7.76,21.54,6.71,89.8,28.6676
06/13/24 06:20:00.0,7.56,21.42,6.56,87.3,27.9250
06/13/24 06:30:00.0,7.50,21.44,6.51,86.7,27.7784
06/13/24 06:40:00.0,7.42,21.56,6.45,86.0,27.7255
06/13/24 06:50:00.0,7.44,21.70,6.45,86.4,28.1549
