Site,Date,Date_Time,Gen_QC,Flags,Time,Time_QC,Temp_DOLog,Temp_DOLog_QC,Temp_CondLog,Temp_CondLog_QC,Raw_DO,Raw_DO_QC,DO,DO_QC,DO_Calibration_QC,DO_Pct_Sat,DO_Pct_Sat_QC,Salinity,Salinity_QC,Sal_Calibration_QC,High_Range,High_Range_QC,Spec_Cond,Spec_Cond_QC,Cal,QA_Comment,Field_Comment
BD1,9/10/24,9/10/24 10:00,,,10:00:00,,21,,21.65,,7.62,,6.48,,,86.5,,29.7521,,,24616.2,,45905.6,,1,,
BD1,9/10/24,9/10/24 10:10,12,,10:10:00,,20.68,,21.57,,7.22,,6.11,,,81.5,,30.4624,,,25098.2,,46885,,,,
BD1,9/10/24,9/10/24 10:20,,,10:20:00,,20.68,,21.66,,7.76,,6.57,,,87.6,,30.365,,,25072,,46750.9,,,,
BD1,9/10/24,9/10/24 10:30,,,10:30:00,,20.7,,21.71,,7.89,,6.68,,,89.1,,30.4144,,,25133.2,,46818.9,,,,
BD1,9/10/24,9/10/24 10:40,,,10:40:00,,20.78,,21.79,,7.6,,6.44,,,85.9,,30.4024,,,25164.8,,46802.4,,,,
BD1,9/10/24,9/10/24 10:50,,,10:50:00,,20.8,,21.8,,7.54,,6.39,,,85.3,,30.3667,,,25142,,46753.3,,,,
BD1,9/10/24,9/10/24 11:00,,,11:00:00,,20.82,,21.79,,8.17,,6.92,,,92.4,,30.4376,,,25187.6,,46850.9,,,,
BD1,9/10/24,9/10/24 11:10,,,11:10:00,,20.8,,21.74,,8.06,,6.82,,,91.2,,30.5039,,,25208.7,,46942.2,,,,
BD1,9/10/24,9/10/24 11:20,,,11:20:00,,20.68,,21.57,,8.22,,6.95,,,92.7,,30.6399,,,25217.5,,47129.2,,,,
BD1,9/10/24,9/10/24 11:30,,,11:30:00,,20.76,,21.82,,8.35,,7.07,,,94.4,,30.4229,,,25187.6,,46830.7,,,,
BD1,9/10/24,9/10/24 11:40,,,11:40:00,,20.84,,21.77,,8.24,,6.97,,,93.3,,30.5106,,,25224.5,,46951.4,,,,
BD1,9/10/24,9/10/24 11:50,,,11:50:00,,20.7,,21.61,,8.21,,6.94,,,92.7,,30.6346,,,25229.8,,47121.9,,,,
BD1,9/10/24,9/10/24 12:00,,,12:00:00,,20.76,,21.72,,8.53,,7.22,,,96.4,,30.5676,,,25236.9,,47029.8,,,,
BD1,9/10/24,9/10/24 12:10,,,12:10:00,,20.78,,21.86,,8.62,,7.3,,,97.4,,30.5031,,,25261.5,,46941,,,,
BD1,9/10/24,9/10/24 12:20,,,12:20:00,,20.88,,21.91,,8.69,,7.36,,,98.4,,30.465,,,25258,,46888.6,,,,
BD1,9/10/24,9/10/24 12:30,,,12:30:00,,20.92,,21.86,,8.76,,7.41,,,99.3,,30.5457,,,25289.8,,46999.7,,,,
BD1,9/10/24,9/10/24 12:40,,,12:40:00,,20.9,,21.87,,8.63,,7.3,,,97.8,,30.5813,,,25319.8,,47048.7,,,,
BD1,9/10/24,9/10/24 12:50,,,12:50:00,,20.92,,21.95,,8.89,,7.52,,,100.8,,30.5336,,,25325.1,,46983.1,,,,
BD1,9/10/24,9/10/24 13:00,,,13:00:00,,20.88,,21.85,,8.86,,7.49,,,100.3,,30.6001,,,25319.8,,47074.5,,,,
BD1,9/10/24,9/10/24 13:10,,,13:10:00,,21,,22.1,,9.03,,7.65,,,102.5,,30.4601,,,25346.4,,46881.9,,,,
BD1,9/10/24,9/10/24 13:20,,,13:20:00,,21.1,,22.18,,9.15,,7.75,,,104.1,,30.4246,,,25360.5,,46833,,,,
BD1,9/10/24,9/10/24 13:30,,,13:30:00,,21.12,,22,,9.28,,7.86,,,105.6,,30.5308,,,25342.8,,46979.2,,,,
BD1,9/10/24,9/10/24 13:40,,,13:40:00,,21.04,,21.97,,9.19,,7.78,,,104.4,,30.5425,,,25334,,46995.3,,,,
