Date Time,High Range (μS/cm)  #21095959,Temp (°C)  #21095959,Specific Conductance (μS/cm),Salinity (ppt)
09/17/24 09:50:00.0,0.0,26.98,,
09/17/24 10:00:00.0,0.0,28.75,,
09/17/24 10:10:00.0,23982.9,21.80,48479.0,31.6235
09/17/24 10:20:00.0,24140.6,21.84,48749.5,31.8212
09/17/24 10:30:00.0,24153.9,21.90,48708.1,31.7910
09/17/24 10:40:00.0,24155.6,21.98,48623.2,31.7289
09/17/24 10:50:00.0,24170.6,22.06,48565.2,31.6865
09/17/24 11:00:00.0,24189.0,22.08,48574.8,31.6935
09/17/24 11:10:00.0,24182.3,22.23,48402.9,31.5679
09/17/24 11:20:00.0,24185.7,22.26,48372.4,31.5457
09/17/24 11:30:00.0,24192.3,22.38,48258.2,31.4623
09/17/24 11:40:00.0,24199.0,22.51,48134.6,31.3721
09/17/24 11:50:00.0,24202.4,22.71,47935.6,31.2269
09/17/24 12:00:00.0,24219.1,22.78,47892.4,31.1955
09/17/24 12:10:00.0,24207.4,23.00,47645.9,31.0158
09/17/24 12:20:00.0,24219.1,23.19,47476.3,30.8923
09/17/24 12:30:00.0,24229.1,23.29,47391.7,30.8308
09/17/24 12:40:00.0,24227.5,23.44,47236.4,30.7178
09/17/24 12:50:00.0,24160.6,23.65,46897.7,30.4716
09/17/24 13:00:00.0,24143.9,23.81,46706.1,30.3325
09/17/24 13:10:00.0,24143.9,23.96,46557.2,30.2244
09/17/24 13:20:00.0,24157.3,24.13,46416.0,30.1220
09/17/24 13:30:00.0,24167.3,24.20,46362.8,30.0834
09/17/24 13:40:00.0,24190.7,24.13,46466.6,30.1587
09/17/24 13:50:00.0,24182.3,24.03,46537.9,30.2104
09/17/24 14:00:00.0,24197.4,24.05,46541.3,30.2129
09/17/24 14:10:00.0,24197.4,24.32,46281.1,30.0241
09/17/24 14:20:00.0,24199.0,24.39,46212.0,29.9741
09/17/24 14:30:00.0,24214.1,24.47,46159.6,29.9361
09/17/24 14:40:00.0,24194.0,24.57,46021.8,29.8363
09/17/24 14:50:00.0,24187.3,24.57,46002.4,29.8222
09/17/24 15:00:00.0,24200.7,24.38,46197.6,29.9637
09/17/24 15:10:00.0,24219.1,24.25,46347.5,30.0723
09/17/24 15:20:00.0,24240.9,24.05,46570.6,30.2341
09/17/24 15:30:00.0,24234.2,23.91,46683.3,30.3159
09/17/24 15:40:00.0,24252.6,23.90,46721.4,30.3436
09/17/24 15:50:00.0,24259.3,23.77,46851.1,30.4378
09/17/24 16:00:00.0,24257.6,23.93,46688.9,30.3200
09/17/24 16:10:00.0,24276.1,23.95,46698.7,30.3271
09/17/24 16:20:00.0,24272.7,23.86,46770.8,30.3794
09/17/24 16:30:00.0,24282.8,23.93,46716.9,30.3403
09/17/24 16:40:00.0,24306.3,23.77,46907.6,30.4788
09/17/24 16:50:00.0,24309.7,23.61,47060.4,30.5898
09/17/24 17:00:00.0,24319.8,23.64,47044.3,30.5781
09/17/24 17:10:00.0,24309.7,23.55,47104.2,30.6217
09/17/24 17:20:00.0,24308.0,23.34,47296.6,30.7616
09/17/24 17:30:00.0,24313.0,23.10,47532.8,30.9335
09/17/24 17:40:00.0,24314.7,22.95,47676.0,31.0377
09/17/24 17:50:00.0,24308.0,22.74,47862.6,31.1737
09/17/24 18:00:00.0,24297.9,22.57,48004.1,31.2769
09/17/24 18:10:00.0,24272.7,22.44,48076.7,31.3298
09/17/24 18:20:00.0,24266.0,22.27,48226.3,31.4390
09/17/24 18:30:00.0,24267.7,22.15,48343.1,31.5243
09/17/24 18:40:00.0,24252.6,22.06,48396.6,31.5633
09/17/24 18:50:00.0,24250.9,21.98,48467.0,31.6147
09/17/24 19:00:00.0,24245.9,21.98,48449.9,31.6022
09/17/24 19:10:00.0,24254.3,21.96,48479.8,31.6241
09/17/24 19:20:00.0,24237.5,21.94,48459.4,31.6092
09/17/24 19:30:00.0,24230.8,21.87,48509.8,31.6460
09/17/24 19:40:00.0,24224.1,21.85,48509.6,31.6458
09/17/24 19:50:00.0,24237.5,21.81,48569.9,31.6899
09/17/24 20:00:00.0,24230.8,21.80,48559.5,31.6823
09/17/24 20:10:00.0,24219.1,21.77,48559.4,31.6823
09/17/24 20:20:00.0,24217.4,21.71,48610.0,31.7192
09/17/24 20:30:00.0,24219.1,21.71,48606.2,31.7165
09/17/24 20:40:00.0,24205.7,21.65,48633.4,31.7363
09/17/24 20:50:00.0,24217.4,21.85,48446.4,31.5997
09/17/24 21:00:00.0,24222.4,21.96,48338.1,31.5206
09/17/24 21:10:00.0,24224.1,22.11,48183.4,31.4077
09/17/24 21:20:00.0,24215.8,22.11,48159.8,31.3905
09/17/24 21:30:00.0,24215.8,21.95,48313.7,31.5028
09/17/24 21:40:00.0,24222.4,21.95,48319.8,31.5072
09/17/24 21:50:00.0,24215.8,21.97,48279.4,31.4777
09/17/24 22:00:00.0,24217.4,21.96,48285.5,31.4822
09/17/24 22:10:00.0,24224.1,21.97,48281.7,31.4794
09/17/24 22:20:00.0,24217.4,22.01,48221.0,31.4351
09/17/24 22:30:00.0,24215.8,21.98,48240.9,31.4497
09/17/24 22:40:00.0,24224.1,22.01,48220.2,31.4345
09/17/24 22:50:00.0,24207.4,22.08,48109.6,31.3538
09/17/24 23:00:00.0,24212.4,22.07,48122.5,31.3632
09/17/24 23:10:00.0,24214.1,22.11,48078.7,31.3313
