Site,Date,Date_Time,Gen_QC,Flags,Time,Time_QC,Temp_DOLog,Temp_DOLog_QC,Temp_CondLog,Temp_CondLog_QC,Raw_DO,Raw_DO_QC,DO,DO_QC,DO_Calibration_QC,DO_Pct_Sat,DO_Pct_Sat_QC,Salinity,Salinity_QC,Sal_Calibration_QC,High_Range,High_Range_QC,Spec_Cond,Spec_Cond_QC,Cal,QA_Comment,Field_Comment
E33,6/25/2024,6/25/2024 12:40,,,12:40:00,,23.72,,23.09,,8.84,,7.45,,,103.9,,28.9265,,,32076.8,,44762.7,,1,,
E33,6/25/2024,6/25/2024 12:50,12,,12:50:00,,21.98,,22.08,,9.38,,7.86,,,106.7,,29.6425,,,32111.6,,45754.1,,,,
E33,6/25/2024,6/25/2024 13:00,,,13:00:00,,21.44,,22.09,,9.55,,7.99,,,107.5,,29.7041,,,32176.9,,45839.1,,,,
E33,6/25/2024,6/25/2024 13:10,,,13:10:00,,21.4,,22.18,,9.64,,8.07,,,108.4,,29.6602,,,32193.2,,45778.6,,,,
E33,6/25/2024,6/25/2024 13:20,,,13:20:00,,21.46,,22.27,,9.75,,8.16,,,109.8,,29.6598,,,32251.7,,45778,,,,
E33,6/25/2024,6/25/2024 13:30,,,13:30:00,,21.8,,22.72,,9.64,,8.09,,,109.3,,29.3175,,,32214.3,,45304.6,,,,
E33,6/25/2024,6/25/2024 13:40,,,13:40:00,,21.74,,22.44,,9.81,,8.22,,,111.1,,29.539,,,32244.7,,45611,,,,
E33,6/25/2024,6/25/2024 13:50,,,13:50:00,,21.64,,22.4,,9.81,,8.22,,,110.9,,29.5506,,,32228.3,,45627,,,,
E33,6/25/2024,6/25/2024 14:00,,,14:00:00,,21.72,,22.64,,9.97,,8.36,,,112.9,,29.4392,,,32277.5,,45472.9,,,,
E33,6/25/2024,6/25/2024 14:10,,,14:10:00,,22.14,,23.35,,10.06,,8.46,,,114.8,,28.9341,,,32244.7,,44773.2,,,,
