Date Time,High Range (μS/cm)  #21415528,Temp (°C)  #21415528,Specific Conductance (μS/cm),Salinity (ppt)
05/15/24 16:30:00.0,39168.5,16.24,46345.3,30.0707
05/15/24 16:40:00.0,37493.7,12.44,48441.4,31.5961
05/15/24 16:50:00.0,37146.6,12.25,48214.3,31.4302
05/15/24 17:00:00.0,37448.9,12.27,48581.6,31.6985
05/15/24 17:10:00.0,37448.9,12.32,48524.8,31.6569
05/15/24 17:20:00.0,37703.6,12.82,48278.1,31.4768
05/15/24 17:30:00.0,37824.4,13.03,48193.5,31.4151
05/15/24 17:40:00.0,37592.5,12.63,48355.2,31.5331
05/15/24 17:50:00.0,37574.5,12.48,48505.2,31.6427
05/15/24 18:00:00.0,37487.7,12.49,48383.3,31.5536
05/15/24 18:10:00.0,37502.7,12.43,48472.4,31.6187
05/15/24 18:20:00.0,37655.5,12.79,48256.3,31.4609
05/15/24 18:30:00.0,37616.5,12.63,48390.3,31.5587
05/15/24 18:40:00.0,37751.9,12.90,48255.4,31.4602
05/15/24 18:50:00.0,38251.4,13.88,47782.4,31.1153
05/15/24 19:00:00.0,37703.6,12.73,48389.6,31.5582
05/15/24 19:10:00.0,37255.9,12.00,48656.8,31.7535
05/15/24 19:20:00.0,37255.9,12.08,48564.8,31.6862
05/15/24 19:30:00.0,37350.7,12.08,48688.4,31.7765
05/15/24 19:40:00.0,37574.5,12.64,48331.3,31.5157
05/15/24 19:50:00.0,37622.5,12.75,48267.8,31.4693
05/15/24 20:00:00.0,37679.6,12.85,48227.4,31.4398
05/15/24 20:10:00.0,37863.7,13.23,48031.1,31.2966
05/15/24 20:20:00.0,37809.2,13.04,48177.8,31.4036
05/15/24 20:30:00.0,37954.8,13.30,48068.7,31.3240
05/15/24 20:40:00.0,37963.9,13.39,47979.9,31.2592
05/15/24 20:50:00.0,37709.7,12.90,48213.2,31.4294
05/15/24 21:00:00.0,37607.5,12.62,48403.4,31.5683
05/15/24 21:10:00.0,37463.9,12.38,48496.0,31.6360
05/15/24 21:20:00.0,37463.9,12.35,48531.5,31.6619
05/15/24 21:30:00.0,37568.5,12.53,48459.4,31.6092
05/15/24 21:40:00.0,37785.1,12.98,48222.4,31.4362
05/15/24 21:50:00.0,37848.6,13.11,48156.3,31.3879
05/15/24 22:00:00.0,38003.5,13.41,48014.1,31.2842
05/15/24 22:10:00.0,37791.1,13.21,47972.6,31.2539
05/15/24 22:20:00.0,37655.5,12.88,48175.0,31.4015
05/15/24 22:30:00.0,37493.7,12.63,48254.4,31.4595
05/15/24 22:40:00.0,37273.6,12.36,48282.3,31.4798
05/15/24 22:50:00.0,37526.6,12.50,48447.3,31.6003
05/15/24 23:00:00.0,37446.0,12.56,48276.1,31.4753
05/15/24 23:10:00.0,37598.5,12.62,48403.4,31.5683
05/15/24 23:20:00.0,37736.8,12.93,48226.7,31.4393
05/15/24 23:30:00.0,37679.6,12.81,48291.4,31.4865
05/15/24 23:40:00.0,37640.5,12.72,48345.2,31.5258
05/15/24 23:50:00.0,37736.8,12.86,48309.0,31.4994
05/16/24 00:00:00.0,37767.0,12.91,48291.3,31.4864
05/16/24 00:10:00.0,37655.5,12.79,48287.1,31.4834
05/16/24 00:20:00.0,37664.5,12.79,48299.4,31.4924
05/16/24 00:30:00.0,37670.5,12.77,48330.8,31.5152
05/16/24 00:40:00.0,37679.6,12.91,48183.8,31.4080
05/16/24 00:50:00.0,37833.4,13.04,48232.2,31.4433
05/16/24 01:00:00.0,37607.5,12.70,48333.0,31.5169
05/16/24 01:10:00.0,37565.5,12.62,48371.7,31.5452
05/16/24 01:20:00.0,37640.5,12.68,48399.8,31.5656
05/16/24 01:30:00.0,37592.5,12.64,48385.1,31.5549
05/16/24 01:40:00.0,37365.6,12.63,48107.3,31.3522
05/16/24 01:50:00.0,37463.9,12.64,48222.5,31.4362
05/16/24 02:00:00.0,37637.5,12.86,48194.1,31.4155
05/16/24 02:10:00.0,37664.5,12.72,48389.0,31.5578
05/16/24 02:20:00.0,37857.7,13.07,48236.8,31.4467
05/16/24 02:30:00.0,37815.3,13.03,48229.4,31.4412
05/16/24 02:40:00.0,37791.1,12.95,48290.4,31.4858
05/16/24 02:50:00.0,37866.8,13.07,48251.0,31.4570
05/16/24 03:00:00.0,37815.3,13.03,48232.0,31.4432
05/16/24 03:10:00.0,37679.6,12.95,48151.5,31.3844
05/16/24 03:20:00.0,37767.0,12.94,48274.7,31.4744
05/16/24 03:30:00.0,37502.7,12.91,47973.9,31.2549
05/16/24 03:40:00.0,37751.9,12.94,48257.3,31.4616
05/16/24 03:50:00.0,37598.5,12.88,48131.4,31.3698
05/16/24 04:00:00.0,37703.6,12.89,48254.6,31.4596
05/16/24 04:10:00.0,37727.7,12.85,48331.7,31.5159
05/16/24 04:20:00.0,37703.6,12.91,48233.6,31.4443
05/16/24 04:30:00.0,37742.8,12.99,48193.4,31.4150
05/16/24 04:40:00.0,37688.6,12.81,48330.1,31.5148
05/16/24 04:50:00.0,37565.5,12.71,48288.2,31.4842
05/16/24 05:00:00.0,37655.5,12.71,48404.0,31.5687
05/16/24 05:10:00.0,37646.5,12.75,48347.6,31.5276
05/16/24 05:20:00.0,37637.5,12.73,48359.9,31.5365
05/16/24 05:30:00.0,37646.5,12.73,48372.2,31.5455
05/16/24 05:40:00.0,37637.5,12.76,48327.3,31.5128
05/16/24 05:50:00.0,37646.5,12.76,48339.7,31.5218
05/16/24 06:00:00.0,37833.4,13.09,48202.7,31.4218
05/16/24 06:10:00.0,37848.6,13.15,48154.9,31.3869
05/16/24 06:20:00.0,37785.1,13.00,48245.3,31.4529
05/16/24 06:30:00.0,37736.8,12.90,48298.6,31.4918
05/16/24 06:40:00.0,37688.6,12.79,48363.5,31.5392
05/16/24 06:50:00.0,37622.5,12.75,48325.8,31.5116
05/16/24 07:00:00.0,37598.5,12.77,48273.2,31.4733
05/16/24 07:10:00.0,37703.6,12.90,48259.9,31.4635
05/16/24 07:20:00.0,37502.7,12.79,48130.0,31.3688
05/16/24 07:30:00.0,37679.6,12.86,48276.6,31.4757
05/16/24 07:40:00.0,37670.5,12.86,48265.9,31.4679
05/16/24 07:50:00.0,37709.7,12.94,48225.6,31.4385
05/16/24 08:00:00.0,37767.0,13.06,48163.1,31.3929
05/16/24 08:10:00.0,37751.9,12.98,48235.5,31.4458
05/16/24 08:20:00.0,37580.5,12.85,48166.2,31.3952
05/16/24 08:30:00.0,37703.6,12.94,48221.4,31.4354
05/16/24 08:40:00.0,37727.7,12.94,48252.9,31.4584
05/16/24 08:50:00.0,37791.1,13.06,48198.0,31.4183
05/16/24 09:00:00.0,37628.5,12.93,48139.9,31.3760
05/16/24 09:10:00.0,37679.6,12.86,48285.4,31.4821
05/16/24 09:20:00.0,37637.5,12.82,48278.2,31.4769
05/16/24 09:30:00.0,37718.7,12.95,48234.5,31.4450
05/16/24 09:40:00.0,37791.1,13.02,48247.8,31.4547
05/16/24 09:50:00.0,37685.6,12.93,48216.9,31.4321
05/16/24 10:00:00.0,37767.0,12.98,48264.4,31.4668
05/16/24 10:10:00.0,37848.6,13.20,48119.4,31.3610
05/16/24 10:20:00.0,37863.7,13.22,48116.7,31.3590
05/16/24 10:30:00.0,37863.7,13.26,48072.5,31.3268
05/16/24 10:40:00.0,37709.7,12.95,48229.2,31.4411
05/16/24 10:50:00.0,37580.5,12.77,48270.4,31.4712
05/16/24 11:00:00.0,37580.5,12.66,48397.0,31.5636
05/16/24 11:10:00.0,37541.5,12.63,48382.4,31.5529
05/16/24 11:20:00.0,37604.5,12.70,48383.7,31.5539
05/16/24 11:30:00.0,37574.5,12.75,48289.1,31.4848
05/16/24 11:40:00.0,37782.0,13.11,48144.7,31.3795
05/16/24 11:50:00.0,37970.0,13.43,48022.1,31.2900
05/16/24 12:00:00.0,38092.0,13.79,47773.5,31.1088
05/16/24 12:10:00.0,37942.6,13.57,47832.7,31.1519
05/16/24 12:20:00.0,37894.0,13.38,47985.3,31.2632
05/16/24 12:30:00.0,37791.1,13.43,47800.7,31.1286
05/16/24 12:40:00.0,37791.1,13.25,48003.5,31.2764
05/16/24 12:50:00.0,38107.3,14.17,47377.5,30.8205
05/16/24 13:00:00.0,37839.5,13.40,47897.7,31.1993
05/16/24 13:10:00.0,37854.6,13.26,48075.0,31.3286
05/16/24 13:20:00.0,37718.7,13.00,48197.9,31.4183
05/16/24 13:30:00.0,37685.6,13.11,48032.3,31.2975
05/16/24 13:40:00.0,37670.5,12.91,48240.6,31.4494
05/16/24 13:50:00.0,37757.9,13.09,48148.2,31.3820
05/16/24 14:00:00.0,38018.7,13.57,47937.6,31.2284
05/16/24 14:10:00.0,37854.6,13.65,47643.8,31.0143
05/16/24 14:20:00.0,37888.0,13.40,47965.7,31.2489
05/16/24 14:30:00.0,38000.4,13.94,47506.5,30.9143
05/16/24 14:40:00.0,38107.3,14.20,47354.2,30.8035
05/16/24 14:50:00.0,37836.5,13.52,47769.3,31.1058
05/16/24 15:00:00.0,37991.3,13.80,47652.5,31.0206
05/16/24 15:10:00.0,37912.3,13.67,47699.0,31.0545
05/16/24 15:20:00.0,37812.3,13.63,47619.2,30.9964
05/16/24 15:30:00.0,37918.3,13.65,47730.5,31.0774
05/16/24 15:40:00.0,37894.0,13.67,47678.7,31.0397
05/16/24 15:50:00.0,37836.5,13.53,47763.4,31.1014
05/16/24 16:00:00.0,37797.2,13.34,47927.4,31.2210
05/16/24 16:10:00.0,37773.0,13.22,48032.7,31.2978
05/16/24 16:20:00.0,37700.6,13.13,48043.5,31.3057
05/16/24 16:30:00.0,37718.7,13.07,48135.2,31.3725
05/16/24 16:40:00.0,37661.5,13.03,48108.8,31.3532
05/16/24 16:50:00.0,37700.6,13.03,48159.3,31.3901
05/16/24 17:00:00.0,37700.6,12.99,48205.5,31.4238
05/16/24 17:10:00.0,37709.7,13.02,48183.9,31.4081
05/16/24 17:20:00.0,37670.5,13.08,48067.1,31.3229
05/16/24 17:30:00.0,37733.8,13.06,48170.9,31.3986
05/16/24 17:40:00.0,37709.7,12.98,48231.9,31.4431
05/16/24 17:50:00.0,37757.9,13.03,48237.2,31.4470
05/16/24 18:00:00.0,37718.7,12.98,48245.1,31.4527
05/16/24 18:10:00.0,37709.7,12.97,48245.9,31.4533
05/16/24 18:20:00.0,37718.7,12.98,48246.9,31.4540
05/16/24 18:30:00.0,37694.6,12.95,48251.2,31.4572
05/16/24 18:40:00.0,37757.9,13.02,48253.0,31.4585
05/16/24 18:50:00.0,37709.7,13.07,48136.0,31.3731
05/16/24 19:00:00.0,37724.7,13.06,48167.2,31.3959
05/16/24 19:10:00.0,37767.0,13.09,48187.8,31.4109
05/16/24 19:20:00.0,37757.9,13.12,48143.1,31.3783
05/16/24 19:30:00.0,37742.8,13.11,48136.2,31.3732
05/16/24 19:40:00.0,37604.5,13.00,48086.1,31.3367
05/16/24 19:50:00.0,37724.7,12.98,48262.4,31.4653
05/16/24 20:00:00.0,37685.6,12.94,48259.0,31.4629
05/16/24 20:10:00.0,37679.6,12.90,48297.7,31.4912
05/16/24 20:20:00.0,37742.8,13.00,48265.3,31.4674
05/16/24 20:30:00.0,37700.6,13.00,48212.5,31.4290
05/16/24 20:40:00.0,37767.0,13.25,48014.9,31.2848
05/16/24 20:50:00.0,37888.0,13.56,47820.6,31.1431
05/16/24 21:00:00.0,37888.0,13.62,47754.5,31.0950
05/16/24 21:10:00.0,37733.8,13.17,48065.7,31.3218
05/16/24 21:20:00.0,37718.7,13.06,48171.9,31.3993
05/16/24 21:30:00.0,37523.6,13.07,47913.9,31.2111
05/16/24 21:40:00.0,37767.0,13.04,48257.6,31.4618
05/16/24 21:50:00.0,37718.7,12.99,48253.9,31.4591
05/16/24 22:00:00.0,37733.8,13.07,48183.2,31.4075
05/16/24 22:10:00.0,37709.7,13.03,48198.8,31.4189
05/16/24 22:20:00.0,37676.5,13.06,48123.5,31.3640
05/16/24 22:30:00.0,37694.6,12.93,48295.0,31.4891
05/16/24 22:40:00.0,37694.6,12.88,48352.8,31.5313
05/16/24 22:50:00.0,37598.5,12.71,48425.2,31.5842
05/16/24 23:00:00.0,37589.5,12.75,48368.8,31.5431
05/16/24 23:10:00.0,37550.5,13.00,48035.8,31.3000
05/16/24 23:20:00.0,37694.6,13.04,48174.4,31.4011
05/16/24 23:30:00.0,37718.7,13.02,48228.6,31.4407
05/16/24 23:40:00.0,37709.7,13.00,48240.7,31.4495
05/16/24 23:50:00.0,37670.5,12.98,48214.5,31.4304
05/17/24 00:00:00.0,37757.9,13.29,47975.8,31.2563
05/17/24 00:10:00.0,37791.1,13.41,47883.9,31.1892
05/17/24 00:20:00.0,37748.8,13.27,47988.6,31.2656
05/17/24 00:30:00.0,37613.5,12.89,48247.7,31.4546
05/17/24 00:40:00.0,37679.6,12.93,48287.3,31.4835
05/17/24 00:50:00.0,37598.5,12.94,48173.5,31.4005
05/17/24 01:00:00.0,37637.5,12.91,48258.2,31.4623
05/17/24 01:10:00.0,37748.8,13.25,48015.4,31.2852
05/17/24 01:20:00.0,37854.6,13.53,47835.6,31.1540
05/17/24 01:30:00.0,37757.9,13.35,47916.3,31.2129
05/17/24 01:40:00.0,37773.0,13.29,48003.6,31.2765
05/17/24 01:50:00.0,37733.8,13.16,48101.5,31.3479
05/17/24 02:00:00.0,37724.7,13.22,48023.1,31.2908
05/17/24 02:10:00.0,37806.2,13.41,47913.3,31.2107
05/17/24 02:20:00.0,37782.0,13.49,47794.2,31.1239
05/17/24 02:30:00.0,37724.7,13.44,47778.9,31.1127
05/17/24 02:40:00.0,37742.8,13.43,47813.7,31.1381
05/17/24 02:50:00.0,37724.7,13.45,47769.4,31.1058
05/17/24 03:00:00.0,37715.7,13.57,47625.3,31.0008
05/17/24 03:10:00.0,37613.5,13.43,47653.5,31.0214
05/17/24 03:20:00.0,37700.6,13.41,47786.4,31.1182
05/17/24 03:30:00.0,37661.5,13.45,47693.4,31.0504
05/17/24 03:40:00.0,37661.5,13.40,47750.1,31.0917
05/17/24 03:50:00.0,37667.5,13.39,47769.7,31.1060
05/17/24 04:00:00.0,37691.6,13.38,47812.1,31.1369
05/17/24 04:10:00.0,37691.6,13.34,47857.8,31.1702
05/17/24 04:20:00.0,37446.0,13.25,47649.2,31.0182
05/17/24 04:30:00.0,37637.5,13.20,47948.4,31.2363
05/17/24 04:40:00.0,37613.5,13.20,47918.9,31.2147
05/17/24 04:50:00.0,37571.5,13.12,47956.6,31.2422
05/17/24 05:00:00.0,37589.5,13.09,48014.1,31.2842
05/17/24 05:10:00.0,37541.5,13.04,48010.5,31.2816
05/17/24 05:20:00.0,37541.5,13.02,48034.0,31.2987
05/17/24 05:30:00.0,37523.6,12.95,48091.3,31.3405
05/17/24 05:40:00.0,37446.0,12.86,48095.3,31.3434
05/17/24 05:50:00.0,37517.6,12.84,48210.3,31.4273
05/17/24 06:00:00.0,37398.3,12.66,48263.8,31.4663
05/17/24 06:10:00.0,37437.0,12.63,48348.6,31.5282
05/17/24 06:20:00.0,37404.3,12.64,48296.1,31.4899
05/17/24 06:30:00.0,37380.5,12.57,48346.5,31.5267
05/17/24 06:40:00.0,37217.4,12.57,48137.8,31.3745
05/17/24 06:50:00.0,37454.9,12.70,48295.0,31.4891
05/17/24 07:00:00.0,37428.1,12.70,48261.5,31.4647
05/17/24 07:10:00.0,37398.3,12.72,48201.4,31.4208
05/17/24 07:20:00.0,37374.5,12.59,48320.3,31.5076
05/17/24 07:30:00.0,37422.1,12.68,48279.3,31.4777
05/17/24 07:40:00.0,37437.0,12.77,48196.6,31.4173
05/17/24 07:50:00.0,37437.0,12.85,48106.5,31.3516
05/17/24 08:00:00.0,37499.7,12.82,48221.6,31.4355
05/17/24 08:10:00.0,37437.0,12.82,48142.3,31.3777
05/17/24 08:20:00.0,37398.3,12.66,48276.0,31.4753
05/17/24 08:30:00.0,37398.3,12.61,48334.1,31.5177
05/17/24 08:40:00.0,37383.4,12.59,48338.7,31.5211
05/17/24 08:50:00.0,37383.4,12.56,48374.0,31.5468
05/17/24 09:00:00.0,37255.9,12.53,48245.3,31.4528
05/17/24 09:10:00.0,37398.3,12.57,48383.4,31.5537
05/17/24 09:20:00.0,37398.3,12.61,48338.4,31.5209
05/17/24 09:30:00.0,37380.5,12.68,48236.5,31.4464
05/17/24 09:40:00.0,37652.5,13.44,47725.2,31.0736
05/17/24 09:50:00.0,37562.5,13.54,47501.6,30.9107
05/17/24 10:00:00.0,37682.6,13.90,47255.5,30.7317
05/17/24 10:10:00.0,37604.5,13.27,47857.5,31.1700
05/17/24 10:20:00.0,37595.5,13.20,47925.6,31.2197
05/17/24 10:30:00.0,37508.6,12.90,48155.1,31.3870
05/17/24 10:40:00.0,37613.5,13.20,47950.1,31.2376
05/17/24 10:50:00.0,37517.6,13.02,48032.3,31.2975
05/17/24 11:00:00.0,37541.5,13.04,48041.0,31.3038
05/17/24 11:10:00.0,37350.7,12.62,48275.5,31.4749
05/17/24 11:20:00.0,37285.5,12.56,48261.3,31.4645
05/17/24 11:30:00.0,37332.9,12.57,48311.6,31.5013
05/17/24 11:40:00.0,37279.6,12.59,48221.1,31.4352
05/17/24 11:50:00.0,37460.9,12.77,48249.0,31.4556
05/17/24 12:00:00.0,37332.9,12.79,48063.4,31.3202
05/17/24 12:10:00.0,37460.9,12.90,48103.0,31.3490
05/17/24 12:20:00.0,37475.8,12.99,48020.9,31.2891
05/17/24 12:30:00.0,37628.5,13.45,47698.5,31.0542
05/17/24 12:40:00.0,37652.5,13.48,47696.2,31.0525
05/17/24 12:50:00.0,37475.8,13.11,47888.1,31.1923
05/17/24 13:00:00.0,37466.8,13.15,47832.6,31.1518
05/17/24 13:10:00.0,37676.5,13.61,47584.3,30.9710
05/17/24 13:20:00.0,37523.6,13.31,47726.9,31.0748
05/17/24 13:30:00.0,37571.5,13.17,47945.5,31.2341
05/17/24 13:40:00.0,37610.5,13.59,47526.2,30.9287
05/17/24 13:50:00.0,37469.8,12.80,48236.7,31.4466
05/17/24 14:00:00.0,37437.0,12.76,48241.2,31.4499
05/17/24 14:10:00.0,37428.1,12.77,48219.3,31.4339
05/17/24 14:20:00.0,37428.1,12.79,48197.4,31.4179
05/17/24 14:30:00.0,37460.9,12.84,48183.3,31.4076
05/17/24 14:40:00.0,8765.7,17.89,10084.2,5.6784
05/17/24 14:50:00.0,38058.4,14.68,46896.9,30.4710
05/17/24 15:00:00.0,2758.4,18.21,3152.9,1.6430
05/17/24 15:10:00.0,38082.8,20.46,41320.9,26.4604
05/17/24 15:20:00.0,37712.7,13.12,48190.7,31.4130
05/17/24 15:30:00.0,37628.5,12.94,48288.7,31.4846
05/17/24 15:40:00.0,37607.5,12.84,48376.8,31.5488
05/17/24 15:50:00.0,37616.5,12.88,48343.5,31.5246
05/17/24 16:00:00.0,37604.5,12.94,48260.7,31.4641
05/17/24 16:10:00.0,37556.5,12.79,48371.3,31.5448
05/17/24 16:20:00.0,37514.6,12.77,48341.4,31.5230
05/17/24 16:30:00.0,37613.5,12.95,48263.5,31.4661
05/17/24 16:40:00.0,37667.5,13.12,48140.2,31.3762
05/17/24 16:50:00.0,37691.6,13.21,48070.0,31.3250
05/17/24 17:00:00.0,37634.5,13.13,48088.8,31.3387
05/17/24 17:10:00.0,37640.5,13.11,48119.9,31.3613
05/17/24 17:20:00.0,37583.5,13.04,48127.5,31.3669
05/17/24 17:30:00.0,37559.5,13.02,48120.5,31.3618
05/17/24 17:40:00.0,37574.5,13.02,48140.5,31.3764
05/17/24 17:50:00.0,37541.5,12.98,48144.6,31.3794
05/17/24 18:00:00.0,37508.6,12.98,48103.6,31.3495
05/17/24 18:10:00.0,37508.6,12.95,48138.5,31.3749
05/17/24 18:20:00.0,37517.6,12.95,48150.8,31.3839
05/17/24 18:30:00.0,37490.7,12.94,48128.7,31.3678
05/17/24 18:40:00.0,37523.6,12.94,48171.6,31.3991
05/17/24 18:50:00.0,37490.7,12.93,48141.8,31.3774
05/17/24 19:00:00.0,37466.8,12.84,48214.4,31.4303
05/17/24 19:10:00.0,37416.2,12.81,48184.7,31.4087
05/17/24 19:20:00.0,37377.5,12.76,48193.0,31.4147
05/17/24 19:30:00.0,37407.2,12.80,48186.3,31.4098
05/17/24 19:40:00.0,37392.4,12.80,48168.3,31.3967
05/17/24 19:50:00.0,37368.6,12.79,48150.1,31.3834
05/17/24 20:00:00.0,37463.9,13.04,47989.3,31.2661
05/17/24 20:10:00.0,37469.8,13.12,47907.4,31.2064
05/17/24 20:20:00.0,37583.5,13.29,47861.4,31.1728
05/17/24 20:30:00.0,37437.0,13.11,47878.7,31.1855
05/17/24 20:40:00.0,37347.8,12.85,48059.7,31.3174
05/17/24 20:50:00.0,37356.7,12.84,48083.3,31.3346
05/17/24 21:00:00.0,37332.9,12.79,48110.5,31.3545
05/17/24 21:10:00.0,37324.0,12.77,48122.7,31.3634
05/17/24 21:20:00.0,37324.0,12.79,48100.8,31.3474
05/17/24 21:30:00.0,37309.2,12.76,48116.8,31.3591
05/17/24 21:40:00.0,37267.7,12.77,48053.2,31.3127
05/17/24 21:50:00.0,37285.5,12.81,48031.4,31.2968
05/17/24 22:00:00.0,37428.1,13.02,47976.7,31.2569
05/17/24 22:10:00.0,37460.9,13.12,47906.5,31.2057
05/17/24 22:20:00.0,37425.1,13.18,47794.5,31.1241
05/17/24 22:30:00.0,37434.0,13.12,47874.1,31.1821
05/17/24 22:40:00.0,37315.1,12.95,47915.2,31.2121
05/17/24 22:50:00.0,37273.6,12.88,47942.2,31.2317
05/17/24 23:00:00.0,37250.0,12.89,47901.6,31.2021
05/17/24 23:10:00.0,37241.1,12.86,47925.0,31.2192
05/17/24 23:20:00.0,37250.0,12.84,47959.8,31.2446
05/17/24 23:30:00.0,37235.2,12.79,47998.4,31.2728
05/17/24 23:40:00.0,37184.9,12.77,47957.5,31.2429
05/17/24 23:50:00.0,37217.4,12.77,48000.0,31.2739
05/18/24 00:00:00.0,37202.7,12.76,47993.4,31.2691
