Date Time,DO conc (mg/L)  #21984863,Temp (°C)  #21984863,DO Adj Conc (mg/L) c:1 2,DO Percent Sat (%),Salinity (ppt)
05/21/24 14:30:00.0,8.65,20.40,,,
05/21/24 14:40:00.0,10.47,17.14,8.79,108.7,29.0416
05/21/24 14:50:00.0,10.59,14.62,8.77,104.2,30.6663
05/21/24 15:00:00.0,10.97,13.72,9.08,105.8,30.6081
05/21/24 15:10:00.0,10.84,13.42,8.96,103.9,30.6844
05/21/24 15:20:00.0,10.94,13.40,9.04,104.8,30.6499
05/21/24 15:30:00.0,11.11,13.34,9.18,106.3,30.6884
05/21/24 15:40:00.0,11.07,13.30,9.15,105.8,30.7025
05/21/24 15:50:00.0,11.17,13.24,9.23,106.6,30.7056
05/21/24 16:00:00.0,11.14,13.34,9.21,106.6,30.6505
05/21/24 16:10:00.0,11.21,13.40,9.27,107.4,30.6459
05/21/24 16:20:00.0,11.04,13.26,9.12,105.4,30.7248
05/21/24 16:30:00.0,11.15,13.34,9.22,106.6,30.6362
05/21/24 16:40:00.0,11.24,13.38,9.30,107.6,30.5986
05/21/24 16:50:00.0,11.25,13.52,9.31,108.0,30.5647
05/21/24 17:00:00.0,11.23,13.54,9.29,107.9,30.5537
05/21/24 17:10:00.0,11.33,13.68,9.38,109.2,30.4932
05/21/24 17:20:00.0,11.32,13.74,9.37,109.2,30.6094
05/21/24 17:30:00.0,10.94,13.60,9.05,105.2,30.6876
05/21/24 17:40:00.0,11.18,13.58,9.25,107.5,30.6348
05/21/24 17:50:00.0,11.19,13.64,9.26,107.7,30.6030
05/21/24 18:00:00.0,10.95,13.64,9.05,105.4,30.6787
05/21/24 18:10:00.0,11.05,13.60,9.13,106.3,30.7176
05/21/24 18:20:00.0,11.05,13.52,9.13,106.1,30.7212
05/21/24 18:30:00.0,10.92,13.48,9.02,104.8,30.7586
05/21/24 18:40:00.0,11.17,13.46,9.23,107.1,30.7162
05/21/24 18:50:00.0,11.18,13.62,9.25,107.6,30.6342
05/21/24 19:00:00.0,11.17,13.62,9.24,107.5,30.6354
05/21/24 19:10:00.0,11.12,13.58,9.20,106.9,30.6534
05/21/24 19:20:00.0,10.94,13.52,9.04,105.1,30.6947
05/21/24 19:30:00.0,11.11,13.48,9.18,106.6,30.7008
05/21/24 19:40:00.0,10.97,13.46,9.07,105.2,30.6844
05/21/24 19:50:00.0,10.88,13.44,8.99,104.3,30.6638
05/21/24 20:00:00.0,10.90,13.44,9.01,104.5,30.6489
05/21/24 20:10:00.0,11.10,13.40,9.17,106.3,30.7859
05/21/24 20:20:00.0,11.12,13.38,9.19,106.5,30.7837
05/21/24 20:30:00.0,11.13,13.40,9.19,106.6,30.7671
05/21/24 20:40:00.0,11.00,13.38,9.09,105.3,30.7746
05/21/24 20:50:00.0,11.19,13.38,9.24,107.1,30.7990
05/21/24 21:00:00.0,11.02,13.40,9.10,105.5,30.7613
05/21/24 21:10:00.0,11.19,13.38,9.24,107.1,30.7496
05/21/24 21:20:00.0,11.22,13.40,9.27,107.5,30.7660
05/21/24 21:30:00.0,11.11,13.44,9.19,106.5,30.4883
05/21/24 21:40:00.0,11.14,14.90,9.28,110.3,29.8049
05/21/24 21:50:00.0,10.93,15.40,9.11,109.3,29.8198
05/21/24 22:00:00.0,10.60,14.70,8.78,104.5,30.6222
05/21/24 22:10:00.0,11.12,13.58,9.19,106.9,30.7831
05/21/24 22:20:00.0,11.07,13.48,9.15,106.2,30.7617
05/21/24 22:30:00.0,11.18,13.44,9.24,107.2,30.7202
05/21/24 22:40:00.0,11.30,13.78,9.37,109.1,30.1955
05/21/24 22:50:00.0,10.90,15.44,9.10,109.1,29.5736
05/21/24 23:00:00.0,10.84,15.58,9.05,108.9,29.5407
05/21/24 23:10:00.0,10.76,15.66,8.99,108.2,29.5055
05/21/24 23:20:00.0,10.66,15.04,8.87,105.8,29.9759
05/21/24 23:30:00.0,10.77,15.42,8.99,107.8,29.4989
05/21/24 23:40:00.0,10.82,14.30,8.99,105.7,30.0128
05/21/24 23:50:00.0,10.79,14.00,8.94,104.7,30.4078
05/22/24 00:00:00.0,10.68,15.38,8.93,106.8,29.3205
05/22/24 00:10:00.0,10.87,13.72,9.00,104.8,30.5619
05/22/24 00:20:00.0,10.93,13.50,9.04,104.9,30.5334
05/22/24 00:30:00.0,10.94,13.92,9.09,106.0,30.0403
05/22/24 00:40:00.0,10.97,14.24,9.12,107.0,29.9178
05/22/24 00:50:00.0,10.89,14.52,9.07,106.9,29.7756
05/22/24 01:00:00.0,10.87,14.64,9.06,107.0,29.6922
05/22/24 01:10:00.0,10.61,14.60,8.84,104.3,29.7545
05/22/24 01:20:00.0,10.37,14.26,8.62,101.2,29.9431
05/22/24 01:30:00.0,10.42,14.28,8.67,101.7,29.7972
05/22/24 01:40:00.0,10.28,14.38,8.56,100.6,29.7262
05/22/24 01:50:00.0,10.58,14.34,8.81,103.4,29.7460
05/22/24 02:00:00.0,10.57,14.84,8.82,104.5,29.4866
05/22/24 02:10:00.0,10.56,14.80,8.81,104.3,29.5700
05/22/24 02:20:00.0,10.02,14.42,8.34,98.1,29.7723
05/22/24 02:30:00.0,9.93,14.02,8.26,96.4,29.8639
05/22/24 02:40:00.0,9.93,13.98,8.26,96.3,29.8859
05/22/24 02:50:00.0,9.59,13.70,7.96,92.5,30.0774
05/22/24 03:00:00.0,9.88,13.62,8.20,95.1,30.1167
05/22/24 03:10:00.0,10.12,13.58,8.40,97.3,30.1061
05/22/24 03:20:00.0,10.17,13.62,8.44,97.9,30.0552
05/22/24 03:30:00.0,10.01,13.70,8.31,96.5,30.0074
05/22/24 03:40:00.0,10.54,13.74,8.76,101.7,29.9443
05/22/24 03:50:00.0,10.58,13.80,8.79,102.2,29.9754
05/22/24 04:00:00.0,10.48,13.74,8.70,101.1,30.0080
05/22/24 04:10:00.0,10.50,13.74,8.72,101.3,30.0355
05/22/24 04:20:00.0,10.48,13.74,8.71,101.1,29.9689
