Date Time,High Range (μS/cm)  #21958393,Temp (°C)  #21958393,Specific Conductance (μS/cm),Salinity (ppt)
05/15/24 14:20:00.0,36403.7,16.90,45861.4,29.7202
05/15/24 14:30:00.0,36089.5,16.41,45967.4,29.7969
05/15/24 14:40:00.0,36032.6,16.22,46091.4,29.8867
05/15/24 14:50:00.0,35990.8,16.17,46090.0,29.8857
05/15/24 15:00:00.0,35922.3,16.03,46147.9,29.9276
05/15/24 15:10:00.0,35934.2,16.03,46163.1,29.9386
05/15/24 15:20:00.0,35940.1,16.02,46181.0,29.9516
05/15/24 15:30:00.0,35928.2,16.02,46165.8,29.9406
05/15/24 15:40:00.0,35886.6,15.98,46154.2,29.9322
05/15/24 15:50:00.0,35886.6,15.94,46195.9,29.9624
05/15/24 16:00:00.0,35880.7,15.89,46240.5,29.9947
05/15/24 16:10:00.0,35871.8,15.93,46187.3,29.9562
05/15/24 16:20:00.0,35874.7,15.94,46180.6,29.9514
05/15/24 16:30:00.0,35854.0,15.91,46185.4,29.9548
05/15/24 16:40:00.0,35874.7,15.93,46191.1,29.9589
05/15/24 16:50:00.0,35895.5,15.94,46207.3,29.9707
05/15/24 17:00:00.0,35883.6,15.93,46202.5,29.9672
05/15/24 17:10:00.0,35862.9,15.94,46165.5,29.9404
05/15/24 17:20:00.0,35969.9,16.01,46229.6,29.9868
05/15/24 17:30:00.0,35910.4,15.99,46174.3,29.9467
05/15/24 17:40:00.0,35975.9,16.22,46019.2,29.8344
05/15/24 17:50:00.0,36068.5,16.34,46013.0,29.8299
05/15/24 18:00:00.0,36065.5,16.64,45701.2,29.6043
05/15/24 18:10:00.0,36110.5,16.64,45758.0,29.6453
05/15/24 18:20:00.0,36176.6,16.79,45688.2,29.5949
05/15/24 18:30:00.0,36185.6,17.16,45325.3,29.3325
05/15/24 18:40:00.0,36170.6,17.51,44957.3,29.0668
05/15/24 18:50:00.0,36086.5,17.76,44606.9,28.8142
05/15/24 19:00:00.0,36089.5,17.87,44503.0,28.7393
05/15/24 19:10:00.0,36143.5,17.45,44983.2,29.0856
05/15/24 19:20:00.0,35928.2,17.59,44578.4,28.7937
05/15/24 19:30:00.0,35859.9,17.60,44484.2,28.7258
05/15/24 19:40:00.0,36047.5,17.31,45003.2,29.1000
05/15/24 19:50:00.0,35907.4,17.47,44670.8,28.8602
05/15/24 20:00:00.0,35806.6,17.68,44340.1,28.6221
05/15/24 20:10:00.0,35774.1,17.65,44329.3,28.6143
05/15/24 20:20:00.0,36050.5,17.49,44828.3,28.9738
05/15/24 20:30:00.0,35768.2,17.47,44498.2,28.7359
05/15/24 20:40:00.0,35750.5,17.43,44515.6,28.7484
05/15/24 20:50:00.0,35747.6,17.52,44423.7,28.6822
05/15/24 21:00:00.0,35880.7,17.43,44677.1,28.8648
05/15/24 21:10:00.0,35937.1,17.20,44975.3,29.0799
05/15/24 21:20:00.0,35937.1,17.11,45065.2,29.1447
05/15/24 21:30:00.0,36056.5,16.91,45415.7,29.3978
05/15/24 21:40:00.0,35402.7,17.30,44211.1,28.5292
05/15/24 21:50:00.0,35241.0,17.39,43922.3,28.3216
05/15/24 22:00:00.0,35163.6,17.28,43933.0,28.3292
05/15/24 22:10:00.0,35700.5,17.52,44365.3,28.6402
05/15/24 22:20:00.0,35089.2,17.30,43821.0,28.2487
05/15/24 22:30:00.0,34981.1,17.31,43676.9,28.1452
05/15/24 22:40:00.0,34984.0,17.24,43748.3,28.1965
05/15/24 22:50:00.0,34935.8,17.23,43697.9,28.1603
05/15/24 23:00:00.0,34879.2,17.20,43656.4,28.1305
05/15/24 23:10:00.0,34964.1,17.18,43781.7,28.2205
05/15/24 23:20:00.0,34972.6,17.11,43860.4,28.2770
05/15/24 23:30:00.0,34930.1,17.08,43836.5,28.2598
05/15/24 23:40:00.0,34947.1,17.06,43877.2,28.2891
05/15/24 23:50:00.0,34904.7,16.98,43902.2,28.3071
05/16/24 00:00:00.0,35069.3,16.79,44295.5,28.5899
05/16/24 00:10:00.0,34935.8,16.79,44127.5,28.4691
05/16/24 00:20:00.0,35055.0,16.70,44366.5,28.6411
05/16/24 00:30:00.0,35440.4,16.51,45043.2,29.1288
05/16/24 00:40:00.0,35003.8,16.70,44302.0,28.5946
05/16/24 00:50:00.0,35117.8,16.53,44614.9,28.8200
05/16/24 01:00:00.0,35066.4,16.45,44629.8,28.8307
05/16/24 01:10:00.0,35177.9,16.39,44831.4,28.9760
05/16/24 01:20:00.0,35203.7,16.45,44803.8,28.9561
