Date Time,DO conc (mg/L)  #21984864,Temp (°C)  #21984864,DO Adj Conc (mg/L) c:1 2,DO Percent Sat (%),Salinity (ppt)
05/15/24 14:20:00.0,10.86,17.54,8.97,112.2,29.7202
05/15/24 14:30:00.0,10.77,16.84,8.88,109.7,29.7969
05/15/24 14:40:00.0,10.88,16.44,8.96,109.9,29.8867
05/15/24 14:50:00.0,10.91,16.34,8.99,109.9,29.8857
05/15/24 15:00:00.0,10.92,16.22,8.99,109.8,29.9276
05/15/24 15:10:00.0,10.94,16.18,9.01,109.9,29.9386
05/15/24 15:20:00.0,10.99,16.18,9.05,110.4,29.9516
05/15/24 15:30:00.0,10.98,16.16,9.04,110.2,29.9406
05/15/24 15:40:00.0,10.94,16.14,9.01,109.8,29.9322
05/15/24 15:50:00.0,10.86,16.12,8.94,108.9,29.9624
05/15/24 16:00:00.0,10.92,16.06,8.98,109.4,29.9947
05/15/24 16:10:00.0,10.93,16.06,8.99,109.5,29.9562
05/15/24 16:20:00.0,10.93,16.06,8.99,109.5,29.9514
05/15/24 16:30:00.0,11.03,16.04,9.08,110.4,29.9548
05/15/24 16:40:00.0,10.90,16.06,8.97,109.2,29.9589
05/15/24 16:50:00.0,10.79,16.10,8.88,108.2,29.9707
05/15/24 17:00:00.0,10.71,16.08,8.81,107.3,29.9672
05/15/24 17:10:00.0,10.63,16.08,8.75,106.5,29.9404
05/15/24 17:20:00.0,10.57,16.10,8.70,105.9,29.9868
05/15/24 17:30:00.0,10.60,16.14,8.72,106.3,29.9467
05/15/24 17:40:00.0,10.83,16.26,8.92,108.9,29.8344
05/15/24 17:50:00.0,10.78,16.46,8.88,108.9,29.8299
05/15/24 18:00:00.0,10.96,17.02,9.05,112.0,29.6043
05/15/24 18:10:00.0,10.48,16.82,8.65,106.6,29.6453
05/15/24 18:20:00.0,10.34,16.94,8.54,105.5,29.5949
05/15/24 18:30:00.0,10.23,17.20,8.46,104.9,29.3325
05/15/24 18:40:00.0,10.21,17.56,8.46,105.5,29.0668
05/15/24 18:50:00.0,10.26,17.84,8.52,106.6,28.8142
05/15/24 19:00:00.0,10.23,17.96,8.50,106.6,28.7393
05/15/24 19:10:00.0,9.88,17.82,8.19,102.6,29.0856
05/15/24 19:20:00.0,10.32,17.70,8.57,106.9,28.7937
05/15/24 19:30:00.0,10.54,17.78,8.76,109.4,28.7258
05/15/24 19:40:00.0,10.36,17.58,8.58,107.1,29.1000
05/15/24 19:50:00.0,10.65,17.56,8.84,110.0,28.8602
05/15/24 20:00:00.0,10.56,17.70,8.78,109.4,28.6221
05/15/24 20:10:00.0,10.27,17.82,8.54,106.7,28.6143
05/15/24 20:20:00.0,10.29,17.72,8.53,106.6,28.9738
05/15/24 20:30:00.0,10.08,17.58,8.37,104.2,28.7359
05/15/24 20:40:00.0,10.06,17.58,8.35,104.0,28.7484
05/15/24 20:50:00.0,10.12,17.62,8.41,104.7,28.6822
05/15/24 21:00:00.0,10.37,17.60,8.60,107.2,28.8648
05/15/24 21:10:00.0,10.10,17.40,8.37,104.0,29.0799
05/15/24 21:20:00.0,10.15,17.30,8.40,104.3,29.1447
05/15/24 21:30:00.0,10.24,17.20,8.46,105.0,29.3978
05/15/24 21:40:00.0,10.34,17.36,8.59,106.4,28.5292
05/15/24 21:50:00.0,10.21,17.54,8.50,105.4,28.3216
05/15/24 22:00:00.0,9.80,17.44,8.15,101.0,28.3292
05/15/24 22:10:00.0,9.38,17.44,7.79,96.6,28.6402
05/15/24 22:20:00.0,9.78,17.54,8.14,101.0,28.2487
05/15/24 22:30:00.0,9.99,17.46,8.32,103.0,28.1452
05/15/24 22:40:00.0,10.11,17.40,8.42,104.1,28.1965
05/15/24 22:50:00.0,10.10,17.36,8.41,103.9,28.1603
05/15/24 23:00:00.0,10.08,17.34,8.39,103.6,28.1305
05/15/24 23:10:00.0,10.05,17.32,8.36,103.3,28.2205
05/15/24 23:20:00.0,10.08,17.28,8.39,103.5,28.2770
05/15/24 23:30:00.0,9.98,17.24,8.30,102.4,28.2598
05/15/24 23:40:00.0,9.97,17.20,8.29,102.2,28.2891
05/15/24 23:50:00.0,9.95,17.14,8.27,101.8,28.3071
05/16/24 00:00:00.0,9.72,17.00,8.07,99.2,28.5899
05/16/24 00:10:00.0,9.35,16.92,7.77,95.3,28.4691
05/16/24 00:20:00.0,9.72,16.86,8.06,98.9,28.6411
05/16/24 00:30:00.0,8.99,16.74,7.43,91.2,29.1288
05/16/24 00:40:00.0,9.74,16.80,8.08,99.0,28.5946
05/16/24 00:50:00.0,9.30,16.76,7.71,94.4,28.8200
05/16/24 01:00:00.0,9.52,16.60,7.89,96.3,28.8307
05/16/24 01:10:00.0,9.38,16.56,7.76,94.8,28.9760
05/16/24 01:20:00.0,9.81,16.54,8.12,99.1,28.9561
05/16/24 01:30:00.0,9.71,16.62,8.04,98.3,28.9337
