Date Time,High Range High Range (μS/cm),Temp (°C)  #21095959,Specific Conductance (μS/cm),Salinity (ppt)
2024-04-09T11:50:00Z,0,25.84,NA,NA
2024-04-09T11:55:00Z,26386.6,21.39,45663.7,29.5771
2024-04-09T12:00:00Z,26377.3,21.44,45600.7,29.5316
2024-04-09T12:05:00Z,26407.2,21.48,45615.1,29.542
2024-04-09T12:10:00Z,26459.6,21.57,45620.3,29.5458
2024-04-09T12:15:00Z,26461.5,21.51,45682.1,29.5904
2024-04-09T12:20:00Z,26491.5,21.45,45792.5,29.6703
2024-04-09T12:25:00Z,26491.5,21.35,45889.8,29.7408
2024-04-09T12:30:00Z,26482.1,21.26,45961.6,29.7927
2024-04-09T12:35:00Z,26516,21.36,45924.7,29.766
2024-04-09T12:40:00Z,26517.8,21.28,46006.2,29.825
2024-04-09T12:45:00Z,26531,21.33,45981.7,29.8073
2024-04-09T12:50:00Z,26510.3,21.2,46072.9,29.8733
2024-04-09T12:55:00Z,26561.2,21.51,45862.4,29.7209
2024-04-09T13:00:00Z,26519.7,21.18,46110.7,29.9007
2024-04-09T13:05:00Z,26574.4,21.77,45638.2,29.5587
2024-04-09T13:10:00Z,26580,21.82,45601.2,29.5319
2024-04-09T13:15:00Z,26625.4,22.1,45414.2,29.3968
2024-04-09T13:20:00Z,26653.8,22.42,45162.7,29.2151
2024-04-09T13:25:00Z,26589.5,21.9,45544.5,29.4909
2024-04-09T13:30:00Z,26642.4,22.28,45276.7,29.2974
2024-04-09T13:35:00Z,26627.3,22.13,45393.3,29.3816
2024-04-09T13:40:00Z,26615.9,22.11,45393.8,29.382
2024-04-09T13:45:00Z,26689.8,22.83,44847.7,28.9878
2024-04-09T13:50:00Z,26672.7,22.54,45088.9,29.1618
2024-04-09T13:55:00Z,26644.3,22.3,45266.3,29.2899
2024-04-09T14:00:00Z,26676.5,22.71,44939.4,29.0539
2024-04-09T14:05:00Z,26695.5,22.98,44723.2,28.898
2024-04-09T14:10:00Z,26693.6,23.02,44684.3,28.87
2024-04-09T14:15:00Z,26706.9,22.93,44790.3,28.9464
2024-04-09T14:20:00Z,26655.7,22.49,45113,29.1792
2024-04-09T14:25:00Z,26697.4,22.88,44822.5,28.9696
2024-04-09T14:30:00Z,26689.8,22.92,44774,28.9346
2024-04-09T14:35:00Z,26687.9,23.08,44624.9,28.8272
2024-04-09T14:40:00Z,26714.5,23.28,44487.8,28.7284
2024-04-09T14:45:00Z,26705,23.43,44336.9,28.6198
2024-04-09T14:50:00Z,26716.4,23.57,44230.4,28.5431
2024-04-09T14:55:00Z,26727.8,23.77,44070.6,28.4282
2024-04-09T15:00:00Z,26710.7,23.93,43900.7,28.306
2024-04-09T15:05:00Z,26727.8,24.21,43681.7,28.1486
2024-04-09T15:10:00Z,26722.1,24.49,43427.7,27.9663
2024-04-09T15:15:00Z,26701.2,24.48,43403.4,27.9489
2024-04-09T15:20:00Z,26684.1,24.53,43333.1,27.8984
2024-04-09T15:25:00Z,26676.5,24.22,43593.1,28.085
2024-04-09T15:30:00Z,26701.2,24.18,43669.7,28.14
2024-04-09T15:35:00Z,26640.5,24.61,43195.8,27.8
