Time,Latitude,Longitude,Logger Depth (m),Flags
12-Aug-2025 13:40:00,       NaN,       NaN,+0.233,TY
12-Aug-2025 13:50:00,+41.742418,-70.653435,+0.441,Y
12-Aug-2025 14:00:00,+41.741287,-70.653629,+0.451,Y
12-Aug-2025 14:10:00,+41.740371,-70.654895,+0.460,
12-Aug-2025 14:20:00,+41.739600,-70.655720,+0.448,Y
12-Aug-2025 14:30:00,+41.738720,-70.655520,+0.517,
12-Aug-2025 14:40:00,+41.738590,-70.655450,+2.597,
12-Aug-2025 14:50:00,+41.738590,-70.655450,+2.552,
12-Aug-2025 15:00:00,+41.738590,-70.655450,+2.507,
12-Aug-2025 15:10:00,+41.738590,-70.655450,+2.462,
12-Aug-2025 15:20:00,+41.738590,-70.655450,+2.417,
12-Aug-2025 15:30:00,+41.738590,-70.655450,+2.373,
12-Aug-2025 15:40:00,+41.738590,-70.655450,+2.275,
12-Aug-2025 15:50:00,+41.738590,-70.655450,+2.239,
12-Aug-2025 16:00:00,+41.738590,-70.655450,+2.204,
12-Aug-2025 16:10:00,+41.738590,-70.655450,+2.168,
12-Aug-2025 16:20:00,+41.738590,-70.655450,+2.132,
12-Aug-2025 16:30:00,+41.738590,-70.655450,+2.096,
12-Aug-2025 16:40:00,+41.738407,-70.655180,+0.422,Y
12-Aug-2025 16:50:00,+41.738470,-70.654909,+0.408,Y
12-Aug-2025 17:00:00,+41.738633,-70.654857,+0.436,Y
12-Aug-2025 17:10:00,+41.738652,-70.654854,+0.431,YZ
12-Aug-2025 17:20:00,+41.738661,-70.654860,+0.408,YZ
12-Aug-2025 17:30:00,+41.738667,-70.654863,+0.408,YZ
12-Aug-2025 17:40:00,+41.738678,-70.654872,+0.410,YZ
12-Aug-2025 17:50:00,+41.738688,-70.654876,+0.420,YZ
12-Aug-2025 18:00:00,+41.738700,-70.654885,+0.424,YZ
12-Aug-2025 18:10:00,+41.738721,-70.654920,+0.424,YZ
12-Aug-2025 18:20:00,+41.738854,-70.655023,+0.417,UY
12-Aug-2025 18:30:00,+41.738933,-70.655080,+0.408,UY
12-Aug-2025 18:40:00,+41.738982,-70.655078,+0.397,UYZ
12-Aug-2025 18:50:00,+41.738995,-70.655080,+0.401,YZ
12-Aug-2025 19:00:00,+41.739005,-70.655088,+0.405,YZ
12-Aug-2025 19:10:00,+41.738992,-70.655085,+0.405,YZ
12-Aug-2025 19:20:00,+41.738993,-70.655083,+0.395,YZ
12-Aug-2025 19:30:00,+41.739016,-70.655101,+0.429,YZ
12-Aug-2025 19:40:00,+41.739072,-70.655126,+0.440,YZ
12-Aug-2025 19:50:00,+41.739136,-70.655161,+0.408,UYZ
12-Aug-2025 20:00:00,+41.739313,-70.655203,+0.401,YZ
12-Aug-2025 20:10:00,+41.739563,-70.655259,+0.440,YZ
12-Aug-2025 20:20:00,+41.739972,-70.655162,+0.677,U
12-Aug-2025 20:30:00,+41.739972,-70.655162,+0.727,
12-Aug-2025 20:40:00,+41.739972,-70.655162,+0.776,
12-Aug-2025 20:50:00,+41.739972,-70.655162,+0.826,
12-Aug-2025 21:00:00,+41.739972,-70.655162,+0.876,
12-Aug-2025 21:10:00,+41.739972,-70.655162,+0.926,
12-Aug-2025 21:20:00,+41.739972,-70.655162,+1.049,
12-Aug-2025 21:30:00,+41.739972,-70.655162,+1.228,
12-Aug-2025 21:40:00,+41.739972,-70.655162,+1.407,
12-Aug-2025 21:50:00,+41.739972,-70.655162,+1.586,
12-Aug-2025 22:00:00,+41.739972,-70.655162,+1.765,
