Date Time,DO conc (mg/L)  #20659181,Temp (°C)  #20659181,DO Adj Conc (mg/L) c:1 2,DO Percent Sat (%),Salinity (ppt)
06/09/22 09:00:00.0,9.34,18.48,,,
06/09/22 09:15:00.0,9.32,18.54,,,
06/09/22 09:30:00.0,9.26,18.76,,,
06/09/22 09:45:00.0,9.22,19.02,,,
06/09/22 10:00:00.0,9.16,19.28,,,
06/09/22 10:15:00.0,9.10,19.62,,,
06/09/22 10:30:00.0,9.03,19.96,,,
06/09/22 10:45:00.0,9.00,20.22,,,
06/09/22 11:00:00.0,8.95,20.32,,,
06/09/22 11:15:00.0,8.89,20.66,,,
06/09/22 11:30:00.0,8.86,20.96,,,
06/09/22 11:45:00.0,8.83,21.04,,,
06/09/22 12:00:00.0,7.80,20.38,6.62,87.3,29.6129
06/09/22 12:15:00.0,7.72,20.76,6.56,87.1,29.5951
06/09/22 12:30:00.0,7.82,20.78,6.64,88.2,29.6128
06/09/22 12:45:00.0,7.84,20.80,6.66,88.5,29.5213
06/09/22 13:00:00.0,7.97,20.84,6.77,90.0,29.6353
06/09/22 13:15:00.0,8.00,20.74,6.79,90.2,29.7309
06/09/22 13:30:00.0,8.09,20.76,6.87,91.3,29.7045
06/09/22 13:45:00.0,8.17,20.80,6.94,92.2,29.7030
06/09/22 14:00:00.0,8.32,20.82,7.06,94.0,29.7471
06/09/22 14:15:00.0,9.23,19.56,7.76,101.7,31.0722
06/09/22 14:30:00.0,9.20,19.60,7.75,101.4,30.7131
06/09/22 14:45:00.0,9.26,19.58,7.80,102.0,30.8401
06/09/22 15:00:00.0,9.21,19.76,7.76,101.9,30.7125
06/09/22 15:15:00.0,9.40,19.32,7.90,103.1,31.1529
06/09/22 15:30:00.0,9.37,19.36,7.87,102.8,31.1119
06/09/22 15:45:00.0,9.35,19.62,7.87,103.1,30.9424
06/09/22 16:00:00.0,9.29,19.58,7.81,102.4,31.1916
06/09/22 16:15:00.0,9.40,19.48,7.90,103.4,31.1070
06/09/22 16:30:00.0,9.37,19.54,7.87,103.2,31.1419
06/09/22 16:45:00.0,9.38,19.60,7.89,103.4,31.0662
06/09/22 17:00:00.0,9.44,19.68,7.94,104.3,31.0432
06/09/22 17:15:00.0,9.58,19.74,8.06,105.9,31.0371
06/09/22 17:30:00.0,9.47,19.74,7.96,104.7,31.0765
06/09/22 17:45:00.0,9.72,20.02,8.20,108.1,30.6119
06/09/22 18:00:00.0,9.70,20.20,8.17,108.3,30.8689
06/09/22 18:15:00.0,9.60,20.50,8.11,107.8,30.5271
06/09/22 18:30:00.0,9.64,20.66,8.15,108.6,30.4789
