Date Time,DO conc (mg/L)  #20659182,Temp (°C)  #20659182,DO Adj Conc  (mg/L),DO Percent  (%),Salinity (ppt)
06/02/23 10:00:00.0,8.49,21.76,,,
06/02/23 10:10:00.0,8.52,21.62,,,
06/02/23 10:20:00.0,8.53,21.58,,,
06/02/23 10:30:00.0,8.46,21.96,,,
06/02/23 10:40:00.0,8.48,21.78,,,
06/02/23 10:50:00.0,8.39,22.34,,,
06/02/23 11:00:00.0,7.86,26.66,,,
06/02/23 11:10:00.0,7.37,22.00,6.41,86.5,28.4735
06/02/23 11:20:00.0,7.57,21.32,6.54,87.7,29.4197
06/02/23 11:30:00.0,7.10,20.82,6.13,81.4,29.4834
06/02/23 11:40:00.0,7.33,20.74,6.33,83.9,29.4592
06/02/23 11:50:00.0,7.06,20.70,6.09,80.8,29.4879
06/02/23 12:00:00.0,7.89,20.72,6.81,90.3,29.4921
06/02/23 12:10:00.0,7.60,20.72,6.56,87.0,29.4993
06/02/23 12:20:00.0,7.72,20.76,6.66,88.4,29.5022
06/02/23 12:30:00.0,7.66,20.76,6.61,87.7,29.4742
06/02/23 12:40:00.0,7.60,20.78,6.56,87.1,29.4461
06/02/23 12:50:00.0,7.52,20.80,6.49,86.2,29.4178
06/02/23 13:00:00.0,7.77,20.84,6.71,89.1,29.4528
06/02/23 13:10:00.0,7.43,20.90,6.41,85.3,29.4532
06/02/23 13:20:00.0,8.48,20.92,7.32,97.4,29.3775
06/02/23 13:30:00.0,9.40,21.02,8.12,108.2,29.3634
06/02/23 13:40:00.0,8.08,21.06,6.98,93.1,29.4331
06/02/23 13:50:00.0,7.67,21.02,6.62,88.3,29.4376
06/02/23 14:00:00.0,7.77,20.98,6.71,89.4,29.4708
06/02/23 14:10:00.0,7.82,21.00,6.75,90.0,29.3965
06/02/23 14:20:00.0,7.99,21.02,6.90,92.0,29.3675
06/02/23 14:30:00.0,7.60,20.96,6.56,87.4,29.4410
06/02/23 14:40:00.0,7.98,21.04,6.90,91.9,29.2721
06/02/23 14:50:00.0,7.74,21.08,6.69,89.2,29.3302
06/02/23 15:00:00.0,9.68,21.28,8.37,112.0,29.2384
06/02/23 15:10:00.0,9.02,21.22,7.79,104.2,29.3227
06/02/23 15:20:00.0,8.49,21.26,7.34,98.2,29.3204
06/02/23 15:30:00.0,8.36,21.22,7.23,96.6,29.2089
06/02/23 15:40:00.0,8.96,21.32,7.75,103.7,29.1301
06/02/23 15:50:00.0,8.42,21.42,7.29,97.6,28.9981
06/02/23 16:00:00.0,8.46,21.46,7.32,98.2,29.0412
06/02/23 16:10:00.0,8.31,21.40,7.19,96.3,29.1676
06/02/23 16:20:00.0,8.47,21.52,7.33,98.4,29.0380
06/02/23 16:30:00.0,8.37,21.52,7.25,97.2,29.0318
06/02/23 16:40:00.0,8.21,21.54,7.10,95.4,29.0950
06/02/23 16:50:00.0,8.31,21.50,7.19,96.5,29.0847
06/02/23 17:00:00.0,7.82,21.42,6.76,90.7,29.1455
06/02/23 17:10:00.0,7.48,21.40,6.47,86.7,29.1621
06/02/23 17:20:00.0,7.58,21.36,6.55,87.8,29.1906
06/02/23 17:30:00.0,7.32,21.36,6.33,84.8,29.1818
06/02/23 17:40:00.0,8.09,21.36,7.00,93.7,29.1405
06/02/23 17:50:00.0,7.33,21.32,6.33,84.8,29.2351
06/02/23 18:00:00.0,7.53,21.30,6.51,87.1,29.1925
06/02/23 18:10:00.0,7.66,21.36,6.62,88.7,29.1753
06/02/23 18:20:00.0,7.75,21.32,6.70,89.7,29.2189
06/02/23 18:30:00.0,7.70,21.32,6.65,89.1,29.2059
06/02/23 18:40:00.0,7.75,21.38,6.70,89.8,29.1873
06/02/23 18:50:00.0,7.82,21.42,6.76,90.6,29.1716
06/02/23 19:00:00.0,7.82,21.44,6.76,90.7,29.1868
06/02/23 19:10:00.0,7.71,21.40,6.66,89.3,29.1832
06/02/23 19:20:00.0,7.98,21.48,6.90,92.6,29.1648
06/02/23 19:30:00.0,8.08,21.46,6.98,93.7,29.1880
06/02/23 19:40:00.0,7.93,21.50,6.86,92.0,29.1684
06/02/23 19:50:00.0,7.90,21.54,6.83,91.8,29.1407
06/02/23 20:00:00.0,7.91,21.54,6.84,91.9,29.1732
06/02/23 20:10:00.0,7.82,21.52,6.76,90.8,29.1480
06/02/23 20:20:00.0,7.65,21.54,6.61,88.9,29.1539
06/02/23 20:30:00.0,7.51,21.58,6.49,87.3,29.1155
06/02/23 20:40:00.0,7.77,21.60,6.72,90.4,29.1014
06/02/23 20:50:00.0,7.91,21.70,6.84,92.2,29.0966
06/02/23 21:00:00.0,8.04,21.66,6.95,93.6,29.1103
06/02/23 21:10:00.0,8.03,21.70,6.94,93.5,29.1080
06/02/23 21:20:00.0,7.97,21.64,6.89,92.7,29.1083
06/02/23 21:30:00.0,7.86,21.60,6.80,91.4,29.1114
06/02/23 21:40:00.0,7.78,21.54,6.72,90.3,29.1371
06/02/23 21:50:00.0,7.63,21.52,6.60,88.6,29.1161
06/02/23 22:00:00.0,7.70,21.58,6.66,89.5,29.0966
06/02/23 22:10:00.0,7.97,21.60,6.89,92.7,29.0943
06/02/23 22:20:00.0,7.76,21.54,6.71,90.1,29.1375
06/02/23 22:30:00.0,7.83,21.54,6.77,90.9,29.1662
06/02/23 22:40:00.0,8.20,21.60,7.09,95.3,29.1641
06/02/23 22:50:00.0,7.89,21.58,6.82,91.7,29.1415
06/02/23 23:00:00.0,7.98,21.52,6.89,92.6,29.1889
06/02/23 23:10:00.0,7.84,21.48,6.77,90.9,29.2256
06/02/23 23:20:00.0,7.82,21.42,6.75,90.6,29.2597
06/02/23 23:30:00.0,7.90,21.38,6.82,91.4,29.2939
06/02/23 23:40:00.0,8.04,21.34,6.94,93.0,29.3052
06/02/23 23:50:00.0,8.13,21.30,7.01,93.9,29.3665
06/03/23 00:00:00.0,8.20,21.26,7.07,94.7,29.3467
06/03/23 00:10:00.0,8.22,21.24,7.09,94.9,29.3836
06/03/23 00:20:00.0,8.31,21.24,7.17,95.9,29.3584
06/03/23 00:30:00.0,8.47,21.26,7.31,97.8,29.3601
06/03/23 00:40:00.0,8.37,21.26,7.22,96.6,29.3592
06/03/23 00:50:00.0,8.41,21.26,7.25,97.1,29.3475
06/03/23 01:00:00.0,8.32,21.26,7.18,96.0,29.3573
06/03/23 01:10:00.0,7.95,21.24,6.86,91.7,29.3618
06/03/23 01:20:00.0,8.20,21.24,7.07,94.6,29.3555
06/03/23 01:30:00.0,8.06,21.22,6.95,93.0,29.3371
