Date Time,High Range (μS/cm)  #20649629,Temp (°C)  #20649629,Specific Conductance (μS/cm),Salinity (ppt)
06/09/22 10:00:00.0,0.0,20.26,,
06/09/22 10:15:00.0,0.0,20.70,,
06/09/22 10:30:00.0,0.0,21.11,,
06/09/22 10:45:00.0,0.0,21.36,,
06/09/22 11:00:00.0,0.0,21.30,,
06/09/22 11:15:00.0,0.0,21.67,,
06/09/22 11:30:00.0,0.0,21.97,,
06/09/22 11:45:00.0,0.0,21.55,,
06/09/22 12:00:00.0,32269.0,21.38,45713.2,29.6129
06/09/22 12:15:00.0,32215.9,21.33,45688.6,29.5951
06/09/22 12:30:00.0,32278.7,21.40,45713.1,29.6129
06/09/22 12:45:00.0,32194.2,21.41,45586.7,29.5214
06/09/22 13:00:00.0,32283.5,21.38,45744.3,29.6354
06/09/22 13:15:00.0,32300.4,21.27,45876.4,29.7311
06/09/22 13:30:00.0,32327.1,21.35,45840.1,29.7047
06/09/22 13:45:00.0,32344.1,21.38,45838.0,29.7032
06/09/22 14:00:00.0,32385.4,21.38,45899.1,29.7475
06/09/22 14:15:00.0,32571.0,19.81,47723.7,31.0725
06/09/22 14:30:00.0,32571.0,20.30,47230.5,30.7135
06/09/22 14:45:00.0,32620.2,20.20,47405.1,30.8405
06/09/22 15:00:00.0,32615.3,20.37,47229.8,30.7130
06/09/22 15:15:00.0,32674.4,19.86,47834.8,31.1535
06/09/22 15:30:00.0,32704.0,19.96,47778.6,31.1125
06/09/22 15:45:00.0,32723.7,20.22,47545.9,30.9430
06/09/22 16:00:00.0,32726.2,19.89,47888.0,31.1923
06/09/22 16:15:00.0,32770.8,20.07,47772.1,31.1077
06/09/22 16:30:00.0,32822.9,20.10,47820.0,31.1427
06/09/22 16:45:00.0,32805.5,20.18,47716.2,31.0670
06/09/22 17:00:00.0,32837.8,20.26,47684.6,31.0440
06/09/22 17:15:00.0,32865.1,20.31,47676.2,31.0379
06/09/22 17:30:00.0,32872.6,20.27,47730.4,31.0774
06/09/22 17:45:00.0,32880.1,20.92,47092.0,30.6128
06/09/22 18:00:00.0,32929.9,20.64,47445.4,30.8699
06/09/22 18:15:00.0,32912.5,21.09,46975.6,30.5282
06/09/22 18:30:00.0,32912.5,21.16,46909.3,30.4800
06/09/22 18:45:00.0,32934.9,21.11,46993.2,30.5410
06/09/22 19:00:00.0,32947.4,20.84,47281.5,30.7506
06/09/22 19:15:00.0,32967.4,20.88,47273.0,30.7444
06/09/22 19:30:00.0,32974.9,20.75,47416.3,30.8487
06/09/22 19:45:00.0,32939.9,20.79,47328.8,30.7850
06/09/22 20:00:00.0,32964.9,20.88,47277.6,30.7478
06/09/22 20:15:00.0,32959.9,21.06,47094.5,30.6146
06/09/22 20:30:00.0,32845.2,21.21,46786.1,30.3905
06/09/22 20:45:00.0,32642.3,21.28,46432.0,30.1336
06/09/22 21:00:00.0,32571.0,21.42,46197.8,29.9638
06/09/22 21:15:00.0,32460.9,21.56,45910.1,29.7554
06/09/22 21:30:00.0,32451.2,21.60,45860.7,29.7197
06/09/22 21:45:00.0,32344.1,21.60,45712.2,29.6122
06/09/22 22:00:00.0,32290.8,21.59,45649.2,29.5666
06/09/22 22:15:00.0,32206.2,21.56,45560.9,29.5028
06/09/22 22:30:00.0,32201.4,21.60,45518.7,29.4723
06/09/22 22:45:00.0,32148.4,21.57,45475.0,29.4407
06/09/22 23:00:00.0,32086.0,21.61,45351.6,29.3515
06/09/22 23:15:00.0,32083.6,21.59,45369.8,29.3647
06/09/22 23:30:00.0,31911.8,21.80,44932.7,29.0491
06/09/22 23:45:00.0,31588.8,22.13,44177.3,28.5049
06/10/22 00:00:00.0,31078.4,21.93,43647.7,28.1242
06/10/22 00:15:00.0,31724.9,21.67,44798.8,28.9525
06/10/22 00:30:00.0,31876.2,21.61,45071.1,29.1490
06/10/22 00:45:00.0,31949.9,21.54,45243.8,29.2737
06/10/22 01:00:00.0,31968.9,21.49,45320.6,29.3292
06/10/22 01:15:00.0,31980.8,21.50,45330.6,29.3364
06/10/22 01:30:00.0,31954.6,21.54,45258.3,29.2841
06/10/22 01:45:00.0,31866.7,21.41,45259.5,29.2850
06/10/22 02:00:00.0,31988.0,21.33,45510.3,29.4662
06/10/22 02:15:00.0,32081.2,21.23,45741.1,29.6331
06/10/22 02:30:00.0,32172.5,20.93,46163.9,29.9392
06/10/22 02:45:00.0,32213.4,20.69,46459.8,30.1537
06/10/22 03:00:00.0,32482.9,20.08,47460.9,30.8811
06/10/22 03:15:00.0,32549.0,19.69,47958.1,31.2434
06/10/22 03:30:00.0,32590.7,19.70,48011.9,31.2826
06/10/22 03:45:00.0,32607.9,19.46,48288.1,31.4841
06/10/22 04:00:00.0,32595.6,19.12,48627.8,31.7322
06/10/22 04:15:00.0,32563.7,18.96,48751.6,31.8227
06/10/22 04:30:00.0,32561.2,19.00,48708.4,31.7912
06/10/22 04:45:00.0,32517.1,18.78,48878.0,31.9152
06/10/22 05:00:00.0,32482.9,18.64,48978.4,31.9886
06/10/22 05:15:00.0,32456.0,18.63,48951.4,31.9689
06/10/22 05:30:00.0,32470.7,18.63,48976.4,31.9871
06/10/22 05:45:00.0,32473.1,18.61,49004.1,32.0074
06/10/22 06:00:00.0,32468.2,18.57,49042.3,32.0354
06/10/22 06:15:00.0,32500.0,18.58,49082.3,32.0647
06/10/22 06:30:00.0,32480.4,18.63,49002.2,32.0061
06/10/22 06:45:00.0,32497.6,18.71,48945.7,31.9647
06/10/22 07:00:00.0,32524.5,18.76,48935.7,31.9574
06/10/22 07:15:00.0,32529.4,18.85,48850.4,31.8950
06/10/22 07:30:00.0,32551.4,18.92,48812.0,31.8669
06/10/22 07:45:00.0,32563.7,19.02,48727.6,31.8052
06/10/22 08:00:00.0,32531.8,19.20,48493.8,31.6343
06/10/22 08:15:00.0,32478.0,19.34,48270.6,31.4714
06/10/22 08:30:00.0,32307.7,19.50,47855.9,31.1688
06/10/22 08:45:00.0,32332.0,19.46,47935.7,31.2270
06/10/22 09:00:00.0,32290.8,19.77,47560.1,30.9534
06/10/22 09:15:00.0,32033.4,20.17,46783.2,30.3885
06/10/22 09:30:00.0,32019.0,20.25,46685.4,30.3174
06/10/22 09:45:00.0,31828.8,20.49,46175.4,29.9475
06/10/22 10:00:00.0,31835.9,20.68,46002.9,29.8226
06/10/22 10:15:00.0,31798.1,20.92,45718.8,29.6170
06/10/22 10:30:00.0,31727.3,21.17,45380.5,29.3724
06/10/22 10:45:00.0,31786.2,21.38,45267.5,29.2908
06/10/22 11:00:00.0,30536.0,21.91,43013.6,27.6695
06/10/22 11:15:00.0,29760.8,22.07,41786.2,26.7921
06/10/22 11:30:00.0,29518.8,22.23,41311.9,26.4540
06/10/22 11:45:00.0,29590.7,22.44,41235.3,26.3995
06/10/22 12:00:00.0,29436.7,22.70,40803.9,26.0927
06/10/22 12:15:00.0,29140.5,22.81,40304.7,25.7382
06/10/22 12:30:00.0,29938.9,23.10,41164.9,26.3494
06/10/22 12:45:00.0,30125.1,23.24,41304.8,26.4490
06/10/22 13:00:00.0,30027.4,23.39,41047.5,26.2659
06/10/22 13:15:00.0,30120.7,23.43,41143.8,26.3344
06/10/22 13:30:00.0,30436.4,23.08,41875.2,26.8555
06/10/22 13:45:00.0,30580.5,23.15,42015.5,26.9557
06/10/22 14:00:00.0,31087.5,22.99,42854.1,27.5552
06/10/22 14:15:00.0,31218.0,23.05,42983.5,27.6479
06/10/22 14:30:00.0,32580.9,22.56,45314.2,29.3245
06/10/22 14:45:00.0,32954.9,22.07,46302.6,30.0397
06/10/22 15:00:00.0,33045.1,21.27,47212.1,30.7001
06/10/22 15:15:00.0,33030.1,20.63,47833.4,31.1525
06/10/22 15:30:00.0,32987.5,20.21,48202.0,31.4212
06/10/22 15:45:00.0,33005.0,20.39,48046.2,31.3076
06/10/22 16:00:00.0,32982.4,20.11,48302.8,31.4948
06/10/22 16:15:00.0,33027.5,20.20,48278.9,31.4774
06/10/22 16:30:00.0,32959.9,19.81,48585.6,31.7014
06/10/22 16:45:00.0,33035.1,20.20,48295.5,31.4895
06/10/22 17:00:00.0,33070.2,20.35,48195.7,31.4166
06/10/22 17:15:00.0,32995.0,19.88,48572.8,31.6921
06/10/22 17:30:00.0,33017.5,19.96,48525.7,31.6576
06/10/22 17:45:00.0,32995.0,19.98,48474.8,31.6204
06/10/22 18:00:00.0,32997.5,19.89,48574.5,31.6933
06/10/22 18:15:00.0,32967.4,19.88,48543.5,31.6706
06/10/22 18:30:00.0,33020.0,19.92,48582.0,31.6988
06/10/22 18:45:00.0,33032.6,20.22,48293.6,31.4881
06/10/22 19:00:00.0,33037.6,20.13,48396.2,31.5630
06/10/22 19:15:00.0,33065.2,20.11,48460.0,31.6096
06/10/22 19:30:00.0,33070.2,20.13,48449.4,31.6019
06/10/22 19:45:00.0,33042.6,20.12,48422.2,31.5820
06/10/22 20:00:00.0,33080.3,20.20,48397.6,31.5641
06/10/22 20:15:00.0,33060.2,20.35,48217.1,31.4323
06/10/22 20:30:00.0,33123.1,20.61,48046.1,31.3075
06/10/22 20:45:00.0,33108.0,20.73,47905.4,31.2049
06/10/22 21:00:00.0,32982.4,20.74,47716.6,31.0674
06/10/22 21:15:00.0,32634.9,20.97,46989.2,30.5381
06/10/22 21:30:00.0,32524.5,21.07,46734.8,30.3533
06/10/22 21:45:00.0,32526.9,21.12,46691.8,30.3221
06/10/22 22:00:00.0,32261.7,21.84,45622.7,29.5475
06/10/22 22:15:00.0,32110.0,21.78,45467.8,29.4355
06/10/22 22:30:00.0,32045.3,21.64,45511.5,29.4671
06/10/22 22:45:00.0,31914.2,21.71,45262.1,29.2868
06/10/22 23:00:00.0,31809.9,21.73,45098.1,29.1685
06/10/22 23:15:00.0,31746.1,21.81,44935.5,29.0511
06/10/22 23:30:00.0,31680.2,21.90,44761.0,28.9253
06/10/22 23:45:00.0,31609.9,21.90,44664.4,28.8557
06/11/22 00:00:00.0,31300.8,21.94,44194.0,28.5169
06/11/22 00:15:00.0,31321.6,21.81,44345.6,28.6260
06/11/22 00:30:00.0,31472.2,21.83,44542.6,28.7678
06/11/22 00:45:00.0,30046.9,21.93,42441.9,27.2603
06/11/22 01:00:00.0,30003.6,22.04,42286.5,27.1492
06/11/22 01:15:00.0,30201.4,21.94,42655.9,27.4133
06/11/22 01:30:00.0,30858.3,21.50,43986.7,28.3678
06/11/22 01:45:00.0,31206.5,21.94,44078.7,28.4340
06/11/22 02:00:00.0,31257.1,21.90,44189.4,28.5136
06/11/22 02:15:00.0,31307.7,21.94,44226.6,28.5403
06/11/22 02:30:00.0,31321.6,21.91,44276.3,28.5761
06/11/22 02:45:00.0,31310.1,21.81,44354.8,28.6326
06/11/22 03:00:00.0,31425.7,21.49,44819.1,28.9672
06/11/22 03:15:00.0,31497.8,21.41,44999.6,29.0974
06/11/22 03:30:00.0,31652.1,21.45,45184.5,29.2308
06/11/22 03:45:00.0,31921.3,20.90,46100.1,29.8930
06/11/22 04:00:00.0,32138.8,20.78,46533.9,30.2075
06/11/22 04:15:00.0,32336.8,20.55,47051.0,30.5830
06/11/22 04:30:00.0,32470.7,20.29,47509.4,30.9165
06/11/22 04:45:00.0,32573.5,20.10,47855.3,31.1684
06/11/22 05:00:00.0,32578.4,19.97,47998.2,31.2726
06/11/22 05:15:00.0,32634.9,19.81,48248.7,31.4553
06/11/22 05:30:00.0,32639.9,19.68,48393.4,31.5610
06/11/22 05:45:00.0,32704.0,19.62,48553.4,31.6778
06/11/22 06:00:00.0,32716.3,19.40,48804.5,31.8614
06/11/22 06:15:00.0,32711.4,19.33,48873.6,31.9120
06/11/22 06:30:00.0,32686.7,19.31,48860.7,31.9025
06/11/22 06:45:00.0,32681.8,19.30,48866.7,31.9069
06/11/22 07:00:00.0,32679.3,19.31,48855.2,31.8985
06/11/22 07:15:00.0,32684.2,19.34,48833.8,31.8828
06/11/22 07:30:00.0,32694.1,19.36,48830.3,31.8803
06/11/22 07:45:00.0,32706.4,19.40,48809.4,31.8650
06/11/22 08:00:00.0,32713.9,19.46,48760.4,31.8291
06/11/22 08:15:00.0,32751.0,19.65,48619.6,31.7262
06/11/22 08:30:00.0,32765.8,19.81,48477.9,31.6227
06/11/22 08:45:00.0,32637.4,19.91,48188.0,31.4110
06/11/22 09:00:00.0,32553.9,20.07,47903.9,31.2038
06/11/22 09:15:00.0,32593.1,20.25,47780.7,31.1140
06/11/22 09:30:00.0,32402.4,20.71,47043.5,30.5776
06/11/22 09:45:00.0,32319.8,20.98,46660.1,30.2991
06/11/22 10:00:00.0,32240.0,21.25,46284.5,30.0266
06/11/22 10:15:00.0,32271.4,21.42,46167.5,29.9418
06/11/22 10:30:00.0,32278.7,21.60,46007.2,29.8257
06/11/22 10:45:00.0,32213.4,21.91,45621.5,29.5466
06/11/22 11:00:00.0,32071.7,22.14,45207.5,29.2474
06/11/22 11:15:00.0,31539.8,22.56,44077.1,28.4328
06/11/22 11:30:00.0,31337.8,22.86,43528.4,28.0386
06/11/22 11:45:00.0,30680.9,23.39,42159.9,27.0587
06/11/22 12:00:00.0,29872.2,23.88,40645.1,25.9799
06/11/22 12:15:00.0,29799.3,24.06,40401.0,25.8066
06/11/22 12:30:00.0,29773.6,24.31,40165.6,25.6396
06/11/22 12:45:00.0,29951.8,24.35,40375.8,25.7887
06/11/22 13:00:00.0,30853.8,24.54,41435.5,26.5420
06/11/22 13:15:00.0,31528.1,23.97,42831.5,27.5390
06/11/22 13:30:00.0,31337.8,23.48,43000.4,27.6600
06/11/22 13:45:00.0,31370.1,23.64,42907.5,27.5934
06/11/22 14:00:00.0,31689.6,23.97,43058.2,27.7014
