Date Time,High Range (μS/cm)  #21742584,Temp (°C)  #21742584,Specific Conductance (μS/cm),Salinity_OB1_21958393 (ppt)
05/07/24 09:00:00.0,0.0,21.18,,
05/07/24 09:10:00.0,0.0,21.58,,
05/07/24 09:20:00.0,0.0,22.04,,
05/07/24 09:30:00.0,0.0,22.06,,
05/07/24 09:40:00.0,0.0,22.01,,
05/07/24 09:50:00.0,0.0,22.42,,
05/07/24 10:00:00.0,0.0,23.02,,
05/07/24 10:10:00.0,0.0,23.71,,
05/07/24 10:20:00.0,0.0,24.44,,
05/07/24 10:30:00.0,0.0,25.19,,
05/07/24 10:40:00.0,0.0,25.92,,
05/07/24 10:50:00.0,0.0,26.66,,
05/07/24 11:00:00.0,0.0,27.41,,
05/07/24 11:10:00.0,0.0,28.09,,
05/07/24 11:20:00.0,0.0,28.26,,
05/07/24 11:30:00.0,31457.1,15.79,,
05/07/24 11:40:00.0,31016.7,15.63,,
05/07/24 11:50:00.0,31136.8,16.57,,
05/07/24 12:00:00.0,31180.6,17.19,,
05/07/24 12:10:00.0,31178.4,17.54,,
05/07/24 12:20:00.0,2634.8,19.53,,
05/07/24 12:30:00.0,2000.4,22.64,,
05/07/24 12:40:00.0,1191.2,25.02,,
05/07/24 12:50:00.0,966.2,26.16,,
05/07/24 13:00:00.0,28984.0,12.61,46450.7,30.1471
05/07/24 13:10:00.0,29184.1,12.73,46637.0,30.2823
05/07/24 13:20:00.0,29213.7,12.85,46552.2,30.2208
05/07/24 13:30:00.0,29312.7,13.15,46379.2,30.0953
05/07/24 13:40:00.0,29422.3,13.51,46159.3,29.9359
05/07/24 13:50:00.0,29578.7,13.95,45928.3,29.7686
05/07/24 14:00:00.0,29647.3,14.25,45714.6,29.6140
05/07/24 14:10:00.0,29502.3,14.14,45610.0,29.5383
05/07/24 14:20:00.0,29237.4,13.46,45929.5,29.7695
05/07/24 14:30:00.0,29217.7,13.40,45964.8,29.7950
05/07/24 14:40:00.0,29308.8,13.64,45849.0,29.7112
05/07/24 14:50:00.0,29516.4,14.40,45361.3,29.3585
05/07/24 15:00:00.0,29470.3,14.31,45386.7,29.3769
05/07/24 15:10:00.0,29372.4,14.23,45322.1,29.3302
05/07/24 15:20:00.0,29442.3,14.33,45325.1,29.3324
05/07/24 15:30:00.0,29400.3,14.16,45441.3,29.4163
05/07/24 15:40:00.0,29416.3,14.25,45371.9,29.3662
05/07/24 15:50:00.0,29466.3,14.44,45249.6,29.2779
05/07/24 16:00:00.0,29376.4,14.22,45344.6,29.3465
05/07/24 16:10:00.0,29247.3,13.73,45667.3,29.5797
05/07/24 16:20:00.0,29130.9,13.22,46037.0,29.8473
05/07/24 16:30:00.0,29077.9,13.00,46194.8,29.9616
05/07/24 16:40:00.0,29036.8,12.82,46328.7,30.0586
05/07/24 16:50:00.0,29023.1,12.76,46374.2,30.0917
05/07/24 17:00:00.0,29099.5,13.02,46210.6,29.9730
05/07/24 17:10:00.0,29028.9,12.73,46418.9,30.1241
05/07/24 17:20:00.0,28974.2,12.52,46565.8,30.2306
05/07/24 17:30:00.0,28915.8,12.42,46584.9,30.2445
05/07/24 17:40:00.0,28902.2,12.32,46675.9,30.3106
05/07/24 17:50:00.0,28826.6,12.02,46892.4,30.4677
05/07/24 18:00:00.0,28797.6,11.86,47027.7,30.5661
05/07/24 18:10:00.0,28768.6,11.65,47220.9,30.7065
05/07/24 18:20:00.0,28730.1,11.45,47388.5,30.8285
05/07/24 18:30:00.0,28737.8,11.31,47563.9,30.9561
05/07/24 18:40:00.0,28728.1,11.23,47641.9,31.0129
05/07/24 18:50:00.0,28733.9,11.19,47699.1,31.0546
05/07/24 19:00:00.0,28753.2,11.24,47674.0,31.0363
05/07/24 19:10:00.0,28770.5,11.23,47715.4,31.0664
05/07/24 19:20:00.0,28770.5,11.23,47716.6,31.0673
05/07/24 19:30:00.0,28784.1,11.26,47705.3,31.0591
05/07/24 19:40:00.0,28815.0,11.29,47722.5,31.0717
05/07/24 19:50:00.0,28840.1,11.36,47683.8,31.0434
05/07/24 20:00:00.0,28845.9,11.36,47694.5,31.0512
05/07/24 20:10:00.0,28861.5,11.36,47721.3,31.0708
05/07/24 20:20:00.0,28896.4,11.45,47675.5,31.0374
05/07/24 20:30:00.0,28900.3,11.46,47671.5,31.0345
05/07/24 20:40:00.0,28915.8,11.53,47617.2,30.9949
05/07/24 20:50:00.0,28950.8,11.64,47548.8,30.9451
05/07/24 21:00:00.0,28919.7,11.63,47510.8,30.9174
05/07/24 21:10:00.0,28768.6,11.54,47368.6,30.8140
05/07/24 21:20:00.0,28880.8,11.53,47564.8,30.9568
05/07/24 21:30:00.0,28900.3,11.52,47609.5,30.9893
05/07/24 21:40:00.0,28894.4,11.53,47589.5,30.9748
05/07/24 21:50:00.0,28925.5,11.56,47606.9,30.9875
05/07/24 22:00:00.0,28927.5,11.56,47611.4,30.9907
05/07/24 22:10:00.0,28906.1,11.58,47554.6,30.9494
05/07/24 22:20:00.0,28913.9,11.58,47568.6,30.9595
05/07/24 22:30:00.0,28931.4,11.59,47586.8,30.9728
