site,SN,model,type,start_date,end_date
RB1,20636185,U24-002,Cond,2023-05-01,
RB1,20659182,U26-001,DO,2023-05-01,
OB9,21742584,U24-002,Cond,2024-05-01,2024-10-15
OB9,21755292,U26-001,DO,2024-05-01,
SB2X,21984864,U26-001,DO,2024-05-01,
SB2X,21958393,U24-002,Cond,2024-05-01,
OB1,21415528,U24,Cond,5/7/24,5/21/24
OB1,20882470,U24,Cond,5/21/24,
OB1,21984863,U26,DO,5/7/24,
BD1,21095959,U24,Cond,5/14/24,
BD1,21429547,U26,DO,5/14/24,
BBC,22145899,MX801,Cond,5/14/24,
BBC,22145899,MX801,DO,5/14/24,
BBC,22070944,MX801,Cond,1/1/25,
BBC,22070944,MX801,DO,1/1/25,
AB2,21113541,U24-002,Cond,2024-08-01,
AB2,21118670,U26-001,DO,2024-08-01,
E33,21095960,U24-002,Cond,2024-08-01,
E33,21091860,U26-001,DO,2024-08-01,
