Site,Date,Date_Time,Gen_QC,Flags,Time,Time_QC,Temp_DOLog,Temp_DOLog_QC,Temp_CondLog,Temp_CondLog_QC,Raw_DO,Raw_DO_QC,DO,DO_QC,DO_Calibration_QC,DO_Pct_Sat,DO_Pct_Sat_QC,Salinity,Salinity_QC,Sal_Calibration_QC,High_Range,High_Range_QC,Spec_Cond,Spec_Cond_QC,Cal,QA_Comment,Field_Comment
RB1,2023-06-02,2023-06-02 11:10:00,9999,Sj,11:10:00,,22,,22.22,,7.37,,6.41,,,86.5,,28.4735,,,30064.6,,44133.7,,1,,
RB1,2023-06-02,2023-06-02 11:20:00,9999,Sj,11:20:00,,21.32,,21.81,,7.57,,6.54,,,87.7,,29.4197,,,30697.7,,45446,,,,
RB1,2023-06-02,2023-06-02 11:30:00,,,11:30:00,,20.82,,21.7,,7.1,,6.13,,,81.4,,29.4834,,,30687.6,,45534.1,,,,
RB1,2023-06-02,2023-06-02 11:40:00,,,11:40:00,,20.74,,21.73,,7.33,,6.33,,,83.9,,29.4592,,,30685.1,,45500.6,,,,
RB1,2023-06-02,2023-06-02 11:50:00,,,11:50:00,,20.7,,21.73,,7.06,,6.09,,,80.8,,29.4879,,,30712.8,,45540.3,,,,
RB1,2023-06-02,2023-06-02 12:00:00,,,12:00:00,,20.72,,21.75,,7.89,,6.81,,,90.3,,29.4921,,,30730.4,,45546.1,,,,
RB1,2023-06-02,2023-06-02 12:10:00,,,12:10:00,,20.72,,21.75,,7.6,,6.56,,,87,,29.4993,,,30738,,45556.1,,,,
RB1,2023-06-02,2023-06-02 12:20:00,,,12:20:00,,20.76,,21.78,,7.72,,6.66,,,88.4,,29.5022,,,30760.8,,45560.1,,,,
RB1,2023-06-02,2023-06-02 12:30:00,,,12:30:00,,20.76,,21.78,,7.66,,6.61,,,87.7,,29.4742,,,30735.5,,45521.4,,,,
RB1,2023-06-02,2023-06-02 12:40:00,,,12:40:00,,20.78,,21.8,,7.6,,6.56,,,87.1,,29.4461,,,30722.9,,45482.5,,,,
